PICK,OWNER
ANA1,ANA
BOS1,BOS
BUF1,BUF
CAR1,PIT
CBJ1,CBJ
CGY1,CGY
CHI1,CHI
COL1,COL
DAL1,DAL
DET1,DET
EDM1,EDM
FLA1,FLA
LAK1,LAK
MIN1,ANA
MTL1,PIT
NJD1,NJD
NSH1,NSH
NYI1,NYI
NYR1,NYR
OTT1,OTT
PHI1,CBJ
PIT1,PIT
SEA1,SEA
SJS1,SJS
STL1,STL
TBL1,PIT
TOR1,DET
UTA1,UTA
VAN1,VAN
VEG1,PIT
WPG1,WPG
WSH1,WSH
ANA2,ANA
BOS2,BOS
BUF2,BUF
CAR2,PIT
CBJ2,CBJ
CGY2,CGY
CHI2,TBL
COL2,COL
DAL2,DAL
DET2,CGY
EDM2,EDM
FLA2,FLA
LAK2,PIT
MIN2,ANA
MTL2,PIT
NJD2,NJD
NSH2,NSH
NYI2,NYI
NYR2,NYR
OTT2,OTT
PHI2,PIT
PIT2,PIT
SEA2,SEA
SJS2,SJS
STL2,STL
TBL2,TBL
TOR2,PHI
UTA2,UTA
VAN2,VAN
VEG2,VEG
WPG2,PHI
WSH2,WSH
ANA3,DET
BOS3,BOS
BUF3,MTL
CAR3,SEA
CBJ3,CBJ
CGY3,BUF
CHI3,PHI
COL3,COL
DAL3,DAL
DET3,ANA
EDM3,DAL
FLA3,FLA
LAK3,NYR
MIN3,MIN
MTL3,MTL
NJD3,NJD
NSH3,NSH
NYI3,NYI
NYR3,NYR
OTT3,OTT
PHI3,WPG
PIT3,CGY
SEA3,SEA
SJS3,SJS
STL3,STL
TBL3,SEA
TOR3,NYI
UTA3,UTA
VAN3,VAN
VEG3,TOR
WPG3,WPG
WSH3,WSH
ANA4,DAL
BOS4,BOS
BUF4,BUF
CAR4,TBL
CBJ4,CBJ
CGY4,CHI
CHI4,DET
COL4,COL
DAL4,DAL
DET4,CGY
EDM4,EDM
FLA4,FLA
LAK4,BUF
MIN4,MIN
MTL4,OTT
NJD4,NJD
NSH4,NSH
NYI4,NYI
NYR4,NYR
OTT4,OTT
PHI4,DET
PIT4,STL
SEA4,SEA
SJS4,LAK
STL4,STL
TBL4,UTA
TOR4,WPG
UTA4,WSH
VAN4,VAN
VEG4,SJS
WPG4,CBJ
WSH4,WSH
