name,hockeydb,nhl,fhl,hockey-reference
Jason Allison,50,UFA,Jason Allison,Jason Allison
Tony Amonte,62,UFA,Tony Amonte,Tony Amonte
Glenn Anderson,67,UFA,Glenn Anderson,Glenn Anderson
Mikael Andersson,76,UFA,Mikael Andersson,Mikael Andersson
Niklas Andersson,77,UFA,Niklas Andersson,Niklas Andersson
Peter Andersson,78,UFA,Peter Andersson,Peter Andersson
Dave Andreychuk,80,UFA,Dave Andreychuk,Dave Andreychuk
Greg Andrusak,83,UFA,Greg Andrusak,Greg Andrusak
Shawn Antoski,92,UFA,Shawn Antoski,Shawn Antoski
Dave Archibald,100,UFA,Dave Archibald,Dave Archibald
Derek Armstrong,105,UFA,Derek Armstrong,Derek Armstrong
Jason Arnott,112,UFA,Jason Arnott,Jason Arnott
Mark Astley,123,UFA,Mark Astley,Mark Astley
Blair Atcheynum,125,UFA,Blair Atcheynum,Blair Atcheynum
Adrian Aucoin,133,UFA,Adrian Aucoin,Adrian Aucoin
Donald Audette,134,UFA,Donald Audette,Donald Audette
Dave Babych,159,UFA,Dave Babych,Dave Babych
Jergus Baca,161,UFA,Jergus Baca,Jergus Baca
Scott Bailey,172,UFA,Scott Bailey,Scott Bailey
Jamie Baker,178,UFA,Jamie Baker,Jamie Baker
Drew Bannister,196,UFA,Drew Bannister,Drew Bannister
Matthew Barnaby,206,UFA,Matthew Barnaby,Matthew Barnaby
Stu Barnes,210,UFA,Stu Barnes,Stu Barnes
Murray Baron,214,UFA,Murray Baron,Murray Baron
Tom Barrasso,216,UFA,Tom Barrasso,Tom Barrasso
Doug Barrault,217,UFA,Doug Barrault,Doug Barrault
Len Barrie,221,UFA,Len Barrie,Len Barrie
Bob Bassen,234,UFA,Bob Bassen,Bob Bassen
Ken Baumgartner,246,UFA,Ken Baumgartner,Ken Baumgartner
Sergei Bautin,248,UFA,Sergei Bautin,Sergei Bautin
Don Beaupre,274,UFA,Don Beaupre,Don Beaupre
Stephane Beauregard,277,UFA,Stephane Beauregard,Stephane Beauregard
Bob Beers,286,UFA,Bob Beers,Bob Beers
Jesse Belanger,292,UFA,Jesse Belanger,Jesse Belanger
Ed Belfour,295,UFA,Ed Belfour,Ed Belfour
Brian Bellows,310,UFA,Brian Bellows,Brian Bellows
Oleg Belov,312,UFA,Oleg Belov,Oleg Belov
Brian Benning,325,UFA,Brian Benning,Brian Benning
Josef Beranek,333,UFA,Josef Beranek,Josef Beranek
Drake Berehowsky,336,UFA,Drake Berehowsky,Drake Berehowsky
Bill Berg,340,UFA,Bill Berg,Bill Berg
Jean-Claude Bergeron,346,UFA,Jean-Claude Bergeron,Jean-Claude Bergeron
Marc Bergevin,350,UFA,Marc Bergevin,Marc Bergevin
Tim Bergland,351,UFA,Tim Bergland,Tim Bergland
Todd Bertuzzi,369,UFA,Todd Bertuzzi,Todd Bertuzzi
Craig Berube,370,UFA,Craig Berube,Craig Berube
Allan Bester,372,UFA,Allan Bester,Allan Bester
Jeff Beukeboom,375,UFA,Jeff Beukeboom,Jeff Beukeboom
Radim Bicanek,382,UFA,Radim Bicanek,Radim Bicanek
Craig Billington,389,UFA,Craig Billington,Craig Billington
James Black,401,UFA,James Black,James Black
Rob Blake,415,UFA,Rob Blake,Rob Blake
John Blue,431,UFA,John Blue,John Blue
Doug Bodger,442,UFA,Doug Bodger,Doug Bodger
Brad Bombardir,464,UFA,Brad Bombardir,Brad Bombardir
Peter Bondra,469,UFA,Peter Bondra,Peter Bondra
Brian Bonin,470,UFA,Brian Bonin,Brian Bonin
Radek Bonk,472,UFA,Radek Bonk,Radek Bonk
Jason Bonsignore,476,UFA,Jason Bonsignore,Jason Bonsignore
Nikolai Borschevsky,485,UFA,Nikolai Borschevsky,Nikolai Borschevsky
Jason Botterill,490,UFA,Jason Botterill,Jason Botterill
Joel Bouchard,496,UFA,Joel Bouchard,Joel Bouchard
Philippe Boucher,501,UFA,Philippe Boucher,Philippe Boucher
Bob Boughner,507,UFA,Bob Boughner,Bob Boughner
Ray Bourque,520,UFA,Ray Bourque,Ray Bourque
Jason Bowen,525,UFA,Jason Bowen,Jason Bowen
Philippe Bozon,540,UFA,Philippe Bozon,Philippe Bozon
Brian Bradley,542,UFA,Brian Bradley,Brian Bradley
Donald Brashear,550,UFA,Donald Brashear,Donald Brashear
Fred Brathwaite,552,UFA,Fred Brathwaite,Fred Brathwaite
