ID,Name,BirthDate,Pos,NHL
fedotiv01,Ivan Fedotov,1996-11-28,G,PHI
heinovi01,Ville Heinola,2001-03-02,D,WPG
hussovi01,Ville Husso,1995-02-06,G,ANA
mottety01,Tyler Motte,1995-03-10,C,FLA
pezzemi01,Michael Pezzetta,1998-03-13,C,MTL
ponomva01,Vasiliy Ponomarev,2002-03-13,C,CAR
reimeja01,James Reimer,1988-03-15,G,TOR
abolsro01,Rodrigo Abols,1996-01-05,C,PHI
acciano01,Noel Acciari,1991-12-01,C,PIT
addisca01,Calen Addison,2000-04-11,D,PIT
ahose01,Sebastian Aho,1997-07-26,F,CAR
aitchka01,Kashawn Aitcheson,2006-09-21,D,NYI
akeybe01,Beau Akey,2005-02-11,D,EDM
akhtyar01,Artur Akhtyamov,2001-10-31,G,TOR
alexeal01,Alexander Alexeyev,1999-11-15,D,WSH
allanno01,Nolan Allan,2003-04-28,D,CHI
allenja01,Jake Allen,1990-08-07,G,NJD
amadimi01,Michael Amadio,1996-05-13,C,OTT
amanni01,Nils Åman,2000-02-07,C,VAN
amicoca01,Carter Amico,2007-03-15,D,PHI
anderfr01,Frederik Andersen,1989-10-02,G,CAR
anderjo05,Josh Anderson,1994-05-07,RW,MTL
andermi02,Michael Anderson,1999-05-25,D,LAK
anderra01,Rasmus Andersson,1996-10-27,D,CGY
andraem01,Emil Andrae,2002-02-23,D,PHI
andrepy01,Pyotr Andreyanov,2007-01-22,G,CBJ
annunju01,Justus Annunen,2000-03-11,G,NSH
applema01,Mason Appleton,1996-01-15,C,DET
armiajo01,Joel Armia,1993-05-31,RW,LAK
artamni01,Nikita Artamonov,2005-11-17,LW,CAR
arvidvi01,Viktor Arvidsson,1993-04-08,LW,BOS
askarya01,Yaroslav Askarov,2002-06-16,G,SJS
aubekni01,Nicolas Aubé-Kubel,1996-05-10,RW,PHI
audymjo01,Jonathan Marchessault,1990-12-27,C,NSH
augustr01,Trey Augustine,2005-02-23,G,DET
backlmi01,Mikael Backlund,1989-03-17,C,CGY
backos01,Oskar Back,2000-03-12,C,DAL
badindo01,Dominik Badinka,2005-11-27,D,CAR
bahlke01,Kevin Bahl,2000-06-27,D,CGY
bainsar01,Arshdeep Bains,2001-01-09,F,VAN
balinuv01,Uvis Balinskis,1996-08-01,D,FLA
barbaiv01,Ivan Barbashev,1995-12-14,C,VEG
bardaza01,Zakhar Bardakov,2001-02-24,C,COL
barkede01,Denver Barkey,2005-04-27,C,PHI
barkoal01,Aleksander Barkov,1995-09-02,C,FLA
barloco01,Colby Barlow,2005-02-14,LW,WPG
barroju01,Justin Barron,2001-11-15,D,NSH
barromo01,Morgan Barron,1998-12-02,C,WPG
barzama01,Mathew Barzal,1997-05-26,C,NYI
bashaan01,Andrew Basha,2005-11-08,F,CGY
bastina01,Nathan Bastian,1997-12-06,RW,DAL
bathedr01,Drake Batherson,1998-04-27,C,OTT
beanja01,Jake Bean,1998-06-09,D,CGY
bearca01,Carter Bear,2006-11-04,LW,DET
beaudco01,Cole Beaudoin,2006-04-24,C,UTA
beauvan01,Anthony Beauvillier,1997-06-08,LW,WSH
beckow01,Owen Beck,2004-02-03,C,MTL
bedarco01,Connor Bedard,2005-07-17,C,CHI
bedkoda01,David Bedkowski,2006-12-07,D,BUF
behrese01,Sean Behrens,2003-03-31,D,COL
bellewi01,William Belle,2007-01-14,RW,TOR
benakad01,Adam Benak,2007-04-10,C,MIN
beniema01,Matthew Beniers,2002-11-05,C,SEA
bennesa01,Sam Bennett,1996-06-20,C,FLA
bennimi01,Michael Benning,2002-01-05,D,FLA
bennja01,Jamie Benn,1989-07-18,LW,DAL
benoisi01,Simon Benoit,1998-09-19,D,TOR
bensoza01,Zach Benson,2005-05-12,LW,BUF
berarbr02,Brett Berard,2002-09-09,LW,NYR
berezma01,Maksim Berezkin,2001-10-12,LW,EDM
berggjo02,Jonatan Berggren,2000-07-16,RW,DET
berglja01,Jack Berglund,2006-04-10,F,PHI
bernaja01,Jacob Bernard-Docker,2000-06-30,D,DET
bertutr01,Tristan Bertucci,2005-07-12,D,DAL
bertuty01,Tyler Bertuzzi,1995-02-24,LW,CHI
bichsli01,Lian Bichsel,2004-05-18,D,DAL
binnijo01,Jordan Binnington,1993-07-11,G,STL
bjarnca01,Carson Bjarnason,2005-06-30,G,PHI
bjorkol01,Oliver Bjorkstrand,1995-04-10,RW,TBL
bjugsni01,Nick Bjugstad,1992-07-17,C,STL
blackco01,Colin Blackwell,1993-03-28,C,DAL
blackma01,Mackenzie Blackwood,1996-12-09,G,COL
blakeja02,Jackson Blake,2003-08-03,RW,CAR
blankni01,Nick Blankenburg,1998-05-12,D,NSH
blomqjo01,Joel Blomqvist,2002-01-10,G,PIT
bluegte01,Teddy Blueger,1994-08-15,C,VAN
blumema01,Matěj Blümel,2000-05-31,RW,EDM
bobrose01,Sergei Bobrovsky,1988-09-20,G,FLA
boesebr01,Brock Boeser,1997-02-25,RW,VAN
bogosza01,Zach Bogosian,1990-07-15,D,MIN
boisvsa01,Sacha Boisvert,2006-03-17,F,CHI
bolduza01,Zachary Bolduc,2003-02-24,C,MTL
boldyma01,Matt Boldy,2001-04-05,LW,MIN
bonkol01,Oliver Bonk,2005-01-09,D,PHI
boqviad01,Adam Boqvist,2000-08-15,D,NYI
boqvije01,Jesper Boqvist,1998-10-30,C,FLA
borgewi01,William Borgen,1996-12-19,D,NYR
bouchev01,Evan Bouchard,1999-10-20,D,EDM
boumesa01,Sascha Boumedienne,2007-01-17,D,WPG
bourqma01,Mavrik Bourque,2002-01-08,C,DAL
brandmi01,Michael Brandsegg-Nygard,2005-10-05,F,DET
brattje01,Jesper Bratt,1998-07-30,W,NJD
brazeju01,Justin Brazeau,1998-02-02,F,PIT
brindga01,Gavin Brindley,2004-10-05,C,COL
brinkbo01,Bobby Brink,2001-07-08,RW,PHI
brissbr01,Brendan Brisson,2001-10-22,C,VEG
brobeph01,Philip Broberg,2001-06-25,D,STL
brodijo01,Jonas Brodin,1993-07-12,D,MIN
broditj01,T.J. Brodie,1990-06-07,D,CGY
brodzjo01,Jonny Brodzinski,1993-06-19,C,NYR
brossla01,Laurent Brossoit,1993-03-23,G,CHI
brownco02,Connor Brown,1994-01-14,RW,NJD
brownjo01,Josh Brown,1994-01-21,D,FLA
broztr01,Tristan Broz,2002-10-10,C,PIT
bruniha01,Harrison Brunicke,2006-05-08,D,PIT
brysoja01,Jacob Bryson,1997-11-18,D,BUF
brzushe01,Henry Brzustewicz,2007-02-09,D,LAK
brzushu01,Hunter Brzustewicz,2004-11-29,D,VAN
buchedm01,Dmitri Buchelnikov,2003-09-06,LW,DET
buchnpa01,Pavel Buchnevich,1995-04-17,LW,STL
buiumsh01,Shai Buium,2003-03-26,D,DET
buiumze01,Zeev Buium,2005-12-07,D,MIN
bumpal01,Alex Bump,2003-11-20,LW,PHI
buntimi01,Michael Bunting,1995-09-17,LW,NSH
burakan01,André Burakovsky,1995-02-09,LW,CHI
burnsbr01,Brent Burns,1985-03-09,D,COL
butda01,Danil But,2005-02-15,LW,UTA
byfiequ01,Quinton Byfield,2002-08-19,C,LAK
byrambo01,Bowen Byram,2001-06-13,D,BUF
bystefi01,Filip Bystedt,2004-02-04,C,SJS
cagnolu01,Luca Cagnoni,2004-12-21,D,SJS
carboju01,Justin Carbonneau,2006-11-25,RW,STL
carcomi01,Michael Carcone,1996-05-19,F,UTA
carlobr01,Brandon Carlo,1996-11-26,D,TOR
carlsjo01,John Carlson,1990-01-10,D,WSH
carlsle01,Leo Carlsson,2004-12-26,C,ANA
carrial01,Alexandre Carrier,1996-10-08,D,MTL
carrisa01,Sam Carrick,1992-02-04,C,NYR
carriwi01,William Carrier,1994-12-20,LW,CAR
caseyse01,Seamus Casey,2004-01-08,D,NJD
catafma01,Mathieu Cataford,2005-03-01,C,VEG
catesno01,Noah Cates,1999-02-05,LW,PHI
cattobe01,Berkly Catton,2006-01-14,F,SEA
caufico01,Cole Caufield,2001-01-02,RW,MTL
cecico01,Cody Ceci,1993-12-21,D,LAK
