ID,ABBR,RESERVE
barloco01,ANA,R
berglja01,ANA,R
brownjo01,ANA,R
desnoca01,ANA,R
engluan01,ANA,R
finleja01,ANA,R
hutsoqu01,ANA,R
ihswoja01,ANA,R
koblati01,ANA,R
labanke01,ANA,R
miettju01,ANA,R
P-haymelu01,ANA,R
shurama01,ANA,R
vanacma01,ANA,R
willato01,ANA,R
annunju01,ANA,
bahlke01,ANA,
buiumze01,ANA,
connoky01,ANA,
coolelo01,ANA,
girarsa01,ANA,
hinosvi01,ANA,
hoferjo01,ANA,
kivirjo01,ANA,
krebspe01,ANA,
murphco02,ANA,
nichuva01,ANA,
oconndr01,ANA,
reinhsa01,ANA,
rodriev01,ANA,
schnebr01,ANA,
severda01,ANA,
shearco01,ANA,
tippeow01,ANA,
wiesboz01,ANA,
boumesa01,BOS,R
buiumsh01,BOS,R
cheslry01,BOS,R
devinja01,BOS,R
finkai01,BOS,R
franket01,BOS,
gajanad01,BOS,R
gudbrer01,BOS,R
jansslu01,BOS,R
mrtkara01,BOS,R
P-mcallry01,BOS,R
primeca01,BOS,R
shepahu01,BOS,R
suzdaal01,BOS,R
thompai01,BOS,R
wallsje01,BOS,
anderfr01,BOS,
brinkbo01,BOS,
burakan01,BOS,
byrambo01,BOS,
cattobe01,BOS,
cliftco01,BOS,
donatry01,BOS,
foxad01,BOS,
fredetr01,BOS,
gauthcu01,BOS,
haulaer01,BOS,
lazarcu01,BOS,
malinsa01,BOS,
mayfisc01,BOS,
milanso01,BOS,R
namesvl01,BOS,
noesest01,BOS,
pachabr01,BOS,
quickjo01,BOS,R
sandeja01,BOS,
chinaye01,BUF,R
connetr01,BUF,R
dickija01,BUF,R
dipiemi01,BUF,R
edstrda01,BUF,R
gudasra01,BUF,
johnske01,BUF,
kemeljo01,BUF,R
korchke01,BUF,R
lamouma01,BUF,R
nadeabr01,BUF,R
ohgreli01,BUF,R
shabama01,BUF,
tkachbr01,BUF,R
ungerfe01,BUF,R
yurovda01,BUF,R
boesebr01,BUF,
chiarbe01,BUF,
crosbsi01,BUF,
dvorsda01,BUF,R
edvinsi01,BUF,
fantiad01,BUF,
foligni01,BUF,
forsbfi01,BUF,
guentdy01,BUF,
hathaga01,BUF,
holmssi01,BUF,
hughelu01,BUF,
koepkco01,BUF,R
nikisal01,BUF,
oleksja01,BUF,
powerow01,BUF,
sandiax01,BUF,R
