hockeydb,name
50,Jason Allison
62,Tony Amonte
67,Glenn Anderson
76,Mikael Andersson
77,Niklas Andersson
78,Peter Andersson
80,Dave Andreychuk
83,Greg Andrusak
92,Shawn Antoski
100,Dave Archibald
105,Derek Armstrong
112,Jason Arnott
123,Mark Astley
125,Blair Atcheynum
133,Adrian Aucoin
134,Donald Audette
159,Dave Babych
161,Jergus Baca
172,Scott Bailey
178,Jamie Baker
196,Drew Bannister
206,Matthew Barnaby
210,Stu Barnes
214,Murray Baron
216,Tom Barrasso
217,Doug Barrault
221,Len Barrie
234,Bob Bassen
246,Ken Baumgartner
248,Sergei Bautin
274,Don Beaupre
277,Stephane Beauregard
286,Bob Beers
292,Jesse Belanger
295,Ed Belfour
310,Brian Bellows
312,Oleg Belov
325,Brian Benning
333,Josef Beranek
336,Drake Berehowsky
340,Bill Berg
346,Jean-Claude Bergeron
350,Marc Bergevin
351,Tim Bergland
369,Todd Bertuzzi
370,Craig Berube
372,Allan Bester
375,Jeff Beukeboom
382,Radim Bicanek
389,Craig Billington
401,James Black
415,Rob Blake
431,John Blue
442,Doug Bodger
464,Brad Bombardir
469,Peter Bondra
470,Brian Bonin
472,Radek Bonk
476,Jason Bonsignore
485,Nikolai Borschevsky
490,Jason Botterill
496,Joel Bouchard
501,Philippe Boucher
507,Bob Boughner
520,Ray Bourque
525,Jason Bowen
540,Philippe Bozon
542,Brian Bradley
550,Donald Brashear
552,Fred Brathwaite
576,Rod Brind'Amour
577,Patrice Brisebois
581,Martin Brochu
587,Martin Brodeur
597,Neal Broten
598,Paul Broten
610,Dave Brown
611,Doug Brown
612,Greg Brown
613,Jeff Brown
615,Keith Brown
619,Rob Brown
631,Benoit Brunet
634,Andrew Brunette
640,Sergei Brylin
645,Kelly Buchberger
662,Pavel Bure
663,Valeri Bure
664,Marc Bureau
674,Sean Burke
689,Shawn Burr
690,Randy Burridge
693,Adam Burt
699,Garth Butcher
703,Vyacheslav Butsayev
707,Ilya Byakin
719,Gary Shuchuk
720,Chris Tancill
721,Mike Sillinger
724,Sheldon Kennedy
725,Keith Primeau
727,Stewart Malgunas
728,Marc Potvin
730,Jason York
731,Jim Cummins
740,Bobby Dollas
741,Johan Garpenlov
742,Dennis Vial
747,Phil Crowe
753,Vincent Riendeau
759,Brent Hughes
765,Tim Taylor
784,Jan Caloun
793,Jim Campbell
809,Guy Carbonneau
823,Terry Carkner
830,Patrik Carnback
831,Keith Carney
845,Jimmy Carson
847,Anson Carter
854,Jon Casey
856,Andrew Cassels
864,Paul Cavallini
883,Shawn Chambers
903,Eric Charron
906,Brad Chartrand
908,Kelly Chase
910,Denis Chasse
911,Vladimir Chebaturkin
946,Chris Chelios
954,Tim Cheveldae
958,Steve Chiasson
969,Tom Chorske
973,Dave Christian
985,Shane Churla
987,Dean Chynoweth
992,Dino Ciccarelli
994,Enrico Ciccone
996,Jozef Cierny
998,Zdeno Ciger
1004,Joe Cirella
1017,Kerry Clark
1018,Wendel Clark
1034,Jacques Cloutier
1042,Paul Coffey
1047,Danton Cole
1069,Pat Conacher
1077,Al Conroy
1078,Craig Conroy
1082,Brandon Convery
1095,Rene Corbet
1099,Bob Corkum
1109,Shayne Corson
1114,Patrick Cote
1116,Sylvain Cote
1125,Geoff Courtnall
1126,Russ Courtnall
1128,Marcel Cousineau
1143,Mike Craig
1144,Dale Craigwell
1148,Murray Craven
1157,Adam Creighton
1168,Cory Cross
1169,Doug Crossman
1173,Troy Crowder
1188,John Cullen
1191,Jassen Cullimore
1194,Randy Cunneyworth
1223,Byron Dafoe
1225,Kevin Dahl
1226,Ulf Dahlen
1228,Chris Dahlquist
1230,Alexandre Daigle
1231,J.J. Daigneault
1236,Brad Dalgarno
1244,Vincent Damphousse
1246,Ken Daneyko
1251,Scott Daniels
1255,Craig Darby
1272,Evgeny Davydov
1273,Jason Dawe
1285,Louie DeBrusk
1296,Philippe DeRouville
1301,Adam Deadmarsh
1304,Kevin Dean
1325,Pavol Demitra
1339,Eric Desjardins
1354,Rob Dimaio
1355,Paul Dipietro
1358,Gerald Diduck
1368,Kevin Dineen
1373,Gilbert Dionne
1375,Robert Dirk
1391,Tie Domi
1396,Ted Donato
1399,Mike Donnelly
1420,Jim Dowd
1426,Dallas Drake
1428,Kris Draper
1429,Tom Draper
1436,Bruce Driver
1441,John Druce
1442,Stan Drulia
1444,Chris Drury
1445,Ted Drury
1452,Steve Dubinsky
1457,Gaetan Duchesne
1458,Steve Duchesne
1485,Mike Dunham
1510,Karl Dykhuis
1513,Joe Dziedzic
1522,Mike Eastwood
1552,Todd Elik
1553,Dave Ellett
1557,Pat Elynuik
1558,Nelson Emerson
1559,David Emma
1561,John Emmons
1577,Anders Eriksson
1582,Bob Errey
1593,Bob Essensa
1604,Dean Evason
1607,Todd Ewen
1617,Pat Falloon
1626,Andre Faust
1631,Glen Featherstone
1636,Sergei Fedorov
1638,Brent Fedyk
1642,Denny Felsner
1656,Peter Ferraro
1657,Ray Ferraro
1661,Viacheslav Fetisov
1669,Dmitri Filimonov
1676,Jeff Finley
1678,Steven Finn
1683,Peter Fiorentino
1685,Stephane Fiset
1690,Rusty Fitzgerald
1691,Tom Fitzgerald
1692,Mark Fitzpatrick
1696,Wade Flaherty
1702,Patrick Flatley
1704,Gerry Fleming
1712,Theoren Fleury
1735,Adam Foote
1742,Peter Forsberg
1748,Corey Foster
1754,Mike Fountain
1767,Ron Francis
1772,Iain Fraser
1786,Jeff Friesen
1794,Grant Fuhr
1811,Dave Gagner
1827,Garry Galley
1855,Mike Gartner
1863,Rob Gaudreau
1873,Aaron Gavey
1876,Martin Gelinas
1880,Martin Gendron
1902,Greg Gilbert
1905,Brent Gilchrist
1907,Randy Gilhen
1908,Todd Gill
1915,Doug Gilmour
1937,Brian Glynn
1944,Alexander Godynyuk
1957,Sergei Gonchar
1985,Michel Goulet
1988,Chris Govedaris
1994,Dirk Graham
1998,Tony Granato
2007,Chris Gratton
2013,Adam Graves
2023,Travis Green
2024,Jeff Greenlaw
2033,Brent Gretzky
2035,Wayne Gretzky
2036,Brent Grieve
2041,Stu Grimson
2046,Tuomas Gronman
2048,Michal Grosek
2051,John Gruden
2060,Bill Guerin
2070,Steve Guolla
2072,Alexei Gusarov
2073,Ravil Gusmanov
2083,Jeff Hackett
2086,Sean Haggerty
2093,Bob Halkidis
2102,Kevin Haller
2125,Roman Hamrlik
2151,Mark Hardy
2152,Brett Harkins
2176,Mike Hartman
2186,Todd Harvey
2187,Dominik Hasek
2191,Derian Hatcher
2192,Kevin Hatcher
2194,Brett Hauer
2199,Dale Hawerchuk
2200,Greg Hawgood
2215,Glenn Healy
2221,Guy Hebert
2224,Bret Hedican
2229,Steve Heinze
2237,Darby Hendrickson
2253,Chris Herperger
2260,Jamie Heward
2264,Ron Hextall
2268,Alex Hicks
2279,Sean Hill
2295,Corey Hirsch
2304,Milan Hnilicka
2313,Kevin Hodson
2325,Jonas Hoglund
2326,Benoit Hogue
2328,Milos Holan
2332,Bobby Holik
2347,Brian Holzinger
2369,Doug Houda
2370,Mike Hough
2371,Bill Houlder
2374,Phil Housley
2379,Mark Howe
2389,Tony Hrkac
2390,Kelly Hrudey
2392,Bill Huard
2397,Charlie Huddy
2402,Kerry Huffman
2410,Brett Hull
2412,Jody Hull
2413,Cale Hulse
2419,Dale Hunter
2422,Tim Hunter
2427,Jamie Huscroft
2441,Al Iafrate
2447,Victor Ignatjev
2460,Peter Ing
2472,Arturs Irbe
2484,Pat Jablonski
2497,Jaromir Jagr
2505,Craig Janney
2506,Mark Janssens
2527,Grant Jennings
2547,Calle Johansson
2559,Greg Johnson
2560,Jim Johnson
2581,Jean-Francois Jomphe
2588,Keith Jones
2591,Kenny Jonsson
2594,Chris Joseph
2595,Curtis Joseph
2599,Ed Jovanovski
2608,Joe Juneau
2616,Frantisek Kaberle
2622,Valeri Kamensky
2624,Kevin Kaminski
2625,Yan Kaminsky
2628,Sami Kapanen
2634,Ladislav Karabin
2640,Paul Kariya
2647,Dave Karpa
2649,Valeri Karpov
2650,Alexander Karpovtsev
2651,Alexei Kasatonov
2652,Darius Kasparaitis
2658,Mike Keane
2661,Dan Keczmer
2683,Dean Kennedy
2685,Mike Kennedy
2701,Dan Kesa
2702,Markus Ketterer
2703,Nikolai Khabibulin
2706,Alexander Kharlamov
2707,Yuri Khmylev
2710,Dmitri Khristich
2713,Trevor Kidd
2719,Darin Kimble
2723,Derek King
2725,Kris King
2727,Steven King
2732,Marko Kiprusoff
2737,Kelly Kisio
2741,Patric Kjellberg
2744,Trent Klatt
2745,Ken Klee
2748,Jon Klemm
2750,Petr Klima
2765,Mike Knuble
2767,Joey Kocur
2771,Saku Koivu
2774,Olaf Kolzig
2778,Steve Konowalchuk
2780,Vladimir Konstantinov
2781,Chris Kontos
2788,Dan Kordic
2793,Igor Korolev
2802,Andrei Kovalenko
2803,Alexei Kovalev
2808,Viktor Kozlov
2809,Vyacheslav Kozlov
2816,Igor Kravchuk
2825,Sergei Krivokrasov
2829,Robert Kron
2830,Vlastimil Kroupa
2833,Uwe Krupp
2835,Paul Kruse
2836,Mike Krushelnyski
2840,Todd Krygier
2844,Frantisek Kucera
2845,Alexei Kudashov
2846,Bob Kudelski
2852,Jari Kurri
2855,Tom Kurvers
2862,Dmitri Kvartalnov
2865,Nick Kypreos
2867,Jim Kyte
2871,Pat Lafontaine
2888,Scott Lachance
2889,Blaine Lacher
