ID,ABBR,RESERVE,NHL
annunju01,ANA,R,NSH
berglja01,ANA,R,PHI
buiumze01,ANA,R,VAN
connoky01,ANA,R,WPG
coolelo01,ANA,R,UTA
desnoca01,ANA,R,UTA
engluan01,ANA,R,NSH
finleja01,ANA,R,UTA
firkuja01,ANA,R,SEA
greeraj01,ANA,R,FLA
hoferjo01,ANA,R,STL
hutsoqu01,ANA,R,EDM
joshuda01,ANA,R,TOR
khusnma01,ANA,R,BOS
koblati01,ANA,R,TOR
liljeti01,ANA,R,WSH
miettju01,ANA,R,SEA
oconndr01,ANA,R,VAN
olivima01,ANA,R,CBJ
P-haymelu01,ANA,R,TOR
reinhsa01,ANA,R,FLA
riellmo01,ANA,R,TOR
rodriev01,ANA,R,FLA
schnebr01,ANA,R,NYR
severda01,ANA,R,CBJ
shurama01,ANA,R,FLA
tippeow01,ANA,R,PHI
toewsjo01,ANA,R,WPG
vanacma01,ANA,R,CHI
vlasial01,ANA,R,CHI
wiesboz01,ANA,R,NSH
willato01,ANA,R,VAN
ihswoja01,ANA,,VEG
boumesa01,BOS,R,WPG
brinkbo01,BOS,R,MIN
buiumsh01,BOS,R,DET
burakan01,BOS,R,CHI
byrambo01,BOS,R,BUF
cattobe01,BOS,R,SEA
cheslry01,BOS,R,WSH
cliftco01,BOS,R,PIT
devinja01,BOS,R,FLA
donatry01,BOS,R,CHI
finkai01,BOS,R,NSH
foxad01,BOS,R,NYR
franket01,BOS,R,WSH
fredetr01,BOS,R,EDM
gajanad01,BOS,R,CHI
gauthcu01,BOS,R,ANA
haulaer01,BOS,R,NSH
jansslu01,BOS,R,FLA
lazarcu01,BOS,R,EDM
malinsa01,BOS,R,COL
mayfisc01,BOS,R,NYI
milanso01,BOS,R,WSH
mrtkara01,BOS,R,BUF
namesvl01,BOS,R,WPG
noesest01,BOS,R,NJD
P-mcallry01,BOS,R,---
pachabr01,BOS,R,CGY
quickjo01,BOS,R,NYR
sandeja01,BOS,R,OTT
shepahu01,BOS,R,OTT
suzdaal01,BOS,R,WSH
thompai01,BOS,R,NYR
wallsje01,BOS,R,MIN
anderfr01,BOS,,CAR
boesebr01,BUF,R,VAN
chiarbe01,BUF,R,DET
crosbsi01,BUF,R,PIT
dipiemi01,BUF,R,BOS
dvorsda01,BUF,R,STL
edvinsi01,BUF,R,DET
fantiad01,BUF,R,CBJ
fialake01,BUF,R,LAK
forsbfi01,BUF,R,NSH
gilbede01,BUF,R,OTT
gudasra01,BUF,R,ANA
guentdy01,BUF,R,UTA
hathaga01,BUF,R,PHI
holmssi01,BUF,R,NYI
hughelu01,BUF,R,NJD
koepkco01,BUF,R,WPG
larkidy01,BUF,R,DET
oleksja01,BUF,R,SEA
powerow01,BUF,R,BUF
sandiax01,BUF,R,DET
shabama01,BUF,R,NYI
shearco01,BUF,R,NYR
talboca01,BUF,R,DET
tkachbr01,BUF,R,OTT
trochvi01,BUF,R,NYR
wolljo01,BUF,R,TOR
yurovda01,BUF,R,MIN
connetr01,BUF,,VEG
edstrda01,BUF,,VEG
nadeabr01,BUF,,CAR
nikisal01,BUF,,CAR
ungerfe01,BUF,,CAR
bardaza01,CAR,R,COL
barkede01,CAR,R,PHI
barroju01,CAR,R,NSH
bennimi01,CAR,R,FLA
bjugsni01,CAR,R,NJD
brzushu01,CAR,R,CGY
dahlira01,CAR,R,BUF
desmica01,CAR,R,DAL
douglcu01,CAR,R,VAN
emberty01,CAR,R,EDM
eyssimi01,CAR,R,BOS
fedotiv01,CAR,R,PHI
frostmo01,CAR,R,CGY
granlmi01,CAR,R,ANA
guentja01,CAR,R,TBL
hallafi01,CAR,R,PIT
klapkad01,CAR,R,CGY
kurasph01,CAR,R,SJS
kyroujo01,CAR,R,STL
lamouma01,CAR,R,UTA
larssad01,CAR,R,SEA
lundca01,CAR,R,SJS
mewshe01,CAR,R,CGY
middlja01,CAR,R,MIN
moserja01,CAR,R,TBL
oreilry01,CAR,R,NSH
ovechal01,CAR,R,WSH
pospima01,CAR,R,CGY
stolaan01,CAR,R,TOR
thompja01,CAR,R,VAN
tsyplma01,CAR,R,NJD
vorondi01,CAR,R,CBJ
bussibr01,CAR,,CAR
marnemi01,CAR,,VEG
perroja01,CAR,,CAR
boqvije01,CBJ,R,FLA
coltoro01,CBJ,R,COL
coylech01,CBJ,R,CBJ
forbode01,CBJ,R,VAN
garlaco01,CBJ,R,CBJ
henriad01,CBJ,R,EDM
johnswy01,CBJ,R,DAL
knighsp01,CBJ,R,CHI
kreidch01,CBJ,R,ANA
kulikdm01,CBJ,R,FLA
mrazepe01,CBJ,R,ANA
myersty01,CBJ,R,DAL
pageaje01,CBJ,R,NYI
paulni01,CBJ,R,TBL
pescebr01,CBJ,R,NJD
smithja04,CBJ,R,CBJ
tavarjo01,CBJ,R,TOR
teravte01,CBJ,R,CHI
zuckeja01,CBJ,R,BUF
howdebr01,CBJ,,VEG
martijo01,CBJ,,CAR
smithco02,CBJ,,VEG
walkese01,CBJ,,CAR
acciano01,CGY,R,PIT
andraem01,CGY,R,PHI
aubekni01,CGY,R,MIN
bennesa01,CGY,R,FLA
cernaer01,CGY,R,TBL
ciharvo01,CGY,R,LAK
cirelan01,CGY,R,TBL
dickija01,CGY,R,EDM
eriksli01,CGY,R,FLA
foligni01,CGY,R,MIN
fortedr01,CGY,R,NYR
gavrivl01,CGY,R,NYR
gourdya01,CGY,R,TBL
greenjo02,CGY,R,BUF
heineda01,CGY,R,CBJ
hussovi01,CGY,R,ANA
ivaniv01,CGY,R,COL
kellypa01,CGY,R,COL
kucheni01,CGY,R,TBL
laughsc01,CGY,R,LAK
levide01,CGY,R,BUF
lindees01,CGY,R,DAL
lindgch01,CGY,R,WSH
lindhel01,CGY,R,BOS
mansojo01,CGY,R,COL
mikkoni01,CGY,R,FLA
nelsobr01,CGY,R,COL
paraste01,CGY,R,WSH
samosma01,CGY,R,FLA
texieal01,CGY,R,MTL
thomplo01,CGY,R,WSH
zuccama01,CGY,R,MIN
carriwi01,CGY,,CAR
karlswi01,CGY,,VEG
milleka01,CGY,,CAR
reillmi01,CGY,,CAR
backos01,CHI,R,DAL
benakad01,CHI,R,MIN
borgewi01,CHI,R,NYR
chinaye01,CHI,R,PIT
coronma01,CHI,R,CGY
farabjo01,CHI,R,CGY
gadjojo01,CHI,R,FLA
hamildo01,CHI,R,NJD
hildede01,CHI,R,TOR
kantsro01,CHI,R,CHI
kiiskje01,CHI,R,NSH
klevety01,CHI,R,OTT
lardini01,CHI,R,CHI
levshar01,CHI,R,CHI
lheurza01,CHI,R,NSH
marchki01,CHI,R,CBJ
marjavi01,CHI,R,BUF
P-leppaat01,CHI,R,EDM
poitrma01,CHI,R,BOS
reimeja01,CHI,R,OTT
ruohohe01,CHI,R,PHI
sillico01,CHI,R,CBJ
toffoty01,CHI,R,SJS
ufkory01,CHI,R,NSH
vanecvi01,CHI,R,UTA
vejmeka01,CHI,R,UTA
vilmasa01,CHI,R,FLA
yagerbr01,CHI,R,WPG
zamulye01,CHI,R,CBJ
dorofpa01,CHI,,VEG
kochepy01,CHI,,CAR
bogosza01,COL,R,MIN
broztr01,COL,R,PIT
cousini01,COL,R,OTT
drouijo01,COL,R,STL
duchema01,COL,R,DAL
dudaar01,COL,R,UTA
ekholma01,COL,R,EDM
elickch01,COL,R,CBJ
goligal01,COL,R,PIT
howeta01,COL,R,PIT
kampfda01,COL,R,WSH
kapanka01,COL,R,EDM
kindebe01,COL,R,PIT
lafreto01,COL,R,EDM
macewza01,COL,R,NJD
mangian01,COL,R,CHI
murtaja01,COL,R,PHI
newhoal01,COL,R,MTL
nylanal01,COL,R,BUF
oconnlo01,COL,R,COL
olofsvi01,COL,R,CGY
pearsta01,COL,R,BUF
pintosh01,COL,R,OTT
poehlry01,COL,R,ANA
regulal01,COL,R,EDM
shestig01,COL,R,NYR
soderar01,COL,R,CHI
sundqos01,COL,R,STL
toewsde01,COL,R,COL
troubja01,COL,R,ANA
yamamka01,COL,R,UTA
zadorni01,COL,R,BOS
stonema01,COL,,VEG
akeybe01,DAL,R,EDM
berezma01,DAL,R,EDM
brandmi01,DAL,R,DET
crozima01,DAL,R,TBL
draisle01,DAL,R,EDM
edstrad01,DAL,R,NYR
gatcoma01,DAL,R,NYI
hanlejo01,DAL,R,CGY
hensllo01,DAL,R,OTT
hymanza01,DAL,R,EDM
johanjo03,DAL,R,TBL
jonesbe01,DAL,R,MIN
jonsssa01,DAL,R,EDM
kaisewy01,DAL,R,CHI
kulicji01,DAL,R,BUF
letoude01,DAL,R,BOS
lorenst01,DAL,R,TOR
mancivi01,DAL,R,VAN
nugenry01,DAL,R,EDM
oreilsa01,DAL,R,EDM
parayco01,DAL,R,STL
rosloja01,DAL,R,EDM
schaere01,DAL,R,NSH
skinnje01,DAL,R,SJS
skinnst01,DAL,R,PIT
slaggla01,DAL,R,CHI
spencjo01,DAL,R,OTT
toropal01,DAL,R,STL
wilsbad01,DAL,R,NSH
amicoca01,DET,R,PHI
augustr01,DET,R,DET
bjorkol01,DET,R,TBL
caseyse01,DET,R,NJD
celebma01,DET,R,SJS
coppan01,DET,R,DET
daccojo01,DET,R,SEA
doanjo01,DET,R,BUF
ernead01,DET,R,DAL
faberbr01,DET,R,MIN
girarsa01,DET,R,PIT
hagelbr01,DET,R,TBL
kessemi01,DET,R,BUF
mackina01,DET,R,COL
martibr02,DET,R,NSH
mooreia01,DET,R,ANA
mukhash01,DET,R,SJS
nichuva01,DET,R,COL
ostapza01,DET,R,SJS
perryco01,DET,R,TBL
podkova01,DET,R,EDM
protail01,DET,R,WSH
royni01,DET,R,COL
savoima01,DET,R,EDM
seidemo01,DET,R,DET
solbest01,DET,R,ANA
terrytr01,DET,R,ANA
artamni01,DET,,CAR
hanifno01,DET,,VEG
hillad01,DET,,VEG
jankoma01,DET,,CAR
korczka01,DET,,VEG
robiner01,DET,,CAR
sissoco01,DET,,VEG
smithre01,DET,,VEG
theodsh01,DET,,VEG
bearca01,EDM,R,DET
bertutr01,EDM,R,DAL
bichsli01,EDM,R,DAL
bjarnca01,EDM,R,PHI
boisvsa01,EDM,R,CHI
brissbr01,EDM,R,NYR
broditj01,EDM,R,CGY
carlsjo01,EDM,R,ANA
carlsle01,EDM,R,ANA
chishde01,EDM,R,WSH
engvapi01,EDM,R,NYI
glassco01,EDM,R,NJD
grundca01,EDM,R,PHI
hamontr01,EDM,R,DET
helledr01,EDM,R,ANA
hrabami01,EDM,R,UTA
iginlti01,EDM,R,UTA
kapriki01,EDM,R,MIN
maattol01,EDM,R,CGY
marksja02,EDM,R,NJD
mathemi01,EDM,R,MTL
mctavma01,EDM,R,ANA
mikheil01,EDM,R,CHI
molenta01,EDM,R,NSH
mugglle01,EDM,R,WSH
pettema01,EDM,R,VAN
ritchca01,EDM,R,NYI
schwaja01,EDM,R,SEA
sorokil01,EDM,R,NYI
stromdy01,EDM,R,WSH
stromry01,EDM,R,CGY
wrighsh01,EDM,R,SEA
yegormi01,EDM,R,NJD
catafma01,EDM,,VEG
holtzal01,EDM,,VEG
astonza01,FLA,R,CBJ
barromo01,FLA,R,WPG
czataet01,FLA,R,TBL
demeldy01,FLA,R,WPG
dillobr01,FLA,R,NJD
dostalu01,FLA,R,ANA
ellerla01,FLA,R,OTT
gauthet01,FLA,R,TBL
gritsar01,FLA,R,NJD
harleth01,FLA,R,DAL
harrijo01,FLA,R,BOS
heiskmi01,FLA,R,DAL
helleco01,FLA,R,WPG
jostty01,FLA,R,NSH
kastema01,FLA,R,BOS
kolosal01,FLA,R,PHI
kuzmean01,FLA,R,LAK
lapiehe01,FLA,R,WSH
lindhha01,FLA,R,BOS
marrelu01,FLA,R,CBJ
mcdavco01,FLA,R,EDM
misami01,FLA,R,SJS
plantma02,FLA,R,DET
ratyaa01,FLA,R,VAN
slukyha01,FLA,R,LAK
wintery01,FLA,R,SEA
badindo01,FLA,,CAR
blakeja02,FLA,,CAR
akhtyar01,LAK,R,TOR
brodzjo01,LAK,R,NYR
brownco02,LAK,R,NJD
buchnpa01,LAK,R,STL
bystefi01,LAK,R,SJS
clarada01,LAK,R,ANA
copleph01,LAK,R,LAK
dachco01,LAK,R,EDM
ellisco01,LAK,R,BUF
fowleca01,LAK,R,STL
genboed01,LAK,R,DET
hyryar01,LAK,R,DAL
ivankja01,LAK,R,NSH
johnsro02,LAK,R,ANA
josiro01,LAK,R,NSH
juulsno01,LAK,R,PHI
kerfoal01,LAK,R,UTA
kirscch01,LAK,R,SJS
korpijo01,LAK,R,BOS
kovacjo01,LAK,R,NJD
kravtvi01,LAK,R,NYR
lewanda01,LAK,R,EDM
mccanja01,LAK,R,SEA
millejt01,LAK,R,NYR
morinet01,LAK,R,CGY
nesteni02,LAK,R,ANA
panarar01,LAK,R,LAK
raddyda01,LAK,R,TBL
ristora01,LAK,R,PHI
rombaja01,LAK,R,NSH
suterpi01,LAK,R,STL
tuomasa01,LAK,R,PHI
walkena01,LAK,R,STL
werenza01,LAK,R,CBJ
westma01,LAK,R,CHI
wetscca01,LAK,R,SJS
andrepy01,MIN,R,CBJ
arvidvi01,MIN,R,BOS
brossla01,MIN,R,SJS
brysoja01,MIN,R,WPG
buntimi01,MIN,R,DAL
dumbama01,MIN,R,PIT
eriksjo02,MIN,R,MIN
gallabr01,MIN,R,MTL
geekico01,MIN,R,TBL
jonesma03,MIN,R,EDM
leean01,MIN,R,NYI
lindgry01,MIN,R,SEA
lombery01,MIN,R,CGY
mccarmi01,MIN,R,MIN
michkma01,MIN,R,PHI
pionkne01,MIN,R,WPG
reschco01,MIN,R,CGY
