hockeyRef,team,pos,stats/gp,stats/goals,stats/assists,stats/pim,stats/plusMinus,stats/ppg,stats/shg,stats/gwg,stats/how,stats/fol,stats/shots,stats/blocks,stats/hits,stats/toi,stats/take,stats/give,stats/wins,stats/losses,stats/ties,stats/ga,stats/sa,stats/so
eicheja01,VEG,C,3,2,5,0,2,0,0,0,28,21,11,1,4,66,3,8,,,,,,
boldyma01,MIN,LW,2,2,4,0,-1,1,0,0,2,2,6,1,0,42,0,3,,,,,,
kapriki01,MIN,LW,2,2,4,0,-1,2,0,0,0,0,11,1,2,40,0,4,,,,,,
mackina01,COL,C,3,2,4,2,4,2,0,1,37,25,10,1,4,67,0,7,,,,,,
necasma01,COL,C,3,3,3,0,4,1,0,0,2,1,6,1,2,65,0,11,,,,,,
dorofpa01,VEG,LW,3,5,0,0,0,4,0,0,0,0,12,1,0,56,0,4,,,,,,
malkiev01,PIT,C,3,0,5,0,0,0,0,0,9,14,6,1,1,52,0,3,,,,,,
nazarfr01,CHI,C,3,1,4,4,2,0,0,0,20,28,7,3,3,59,4,6,,,,,,
pintosh01,OTT,C,2,4,1,0,3,0,0,0,12,5,7,1,0,35,4,0,,,,,,
scheima01,WPG,C,2,2,3,2,3,0,0,1,19,22,4,0,2,41,0,3,,,,,,
stonema01,VEG,RW,3,0,5,0,-1,0,0,0,0,1,5,4,2,57,0,4,,,,,,
suzukni01,MTL,C,3,0,5,2,-1,0,0,0,23,23,5,1,2,58,0,2,,,,,,
bolduza01,MTL,C,3,3,1,0,1,1,0,0,2,3,10,0,4,45,1,3,,,,,,
connoky01,WPG,LW,2,3,1,2,2,0,1,0,0,0,10,1,0,38,1,2,,,,,,
foxad01,NYR,D,4,3,1,2,2,1,0,1,0,0,11,8,2,93,5,5,,,,,,
harleth01,DAL,D,2,1,3,4,0,0,0,0,0,0,2,9,0,47,0,0,,,,,,
hughelu01,NJD,D,2,0,4,4,1,0,0,0,0,0,4,2,3,41,0,4,,,,,,
kanepa01,DET,RW,2,1,3,0,0,0,0,0,0,0,4,0,1,34,0,2,,,,,,
lindhel01,BOS,C,3,2,2,0,3,2,0,1,36,15,10,3,8,53,0,1,,,,,,
mctavma01,ANA,C,2,0,4,2,1,0,0,0,12,19,6,0,5,41,1,1,,,,,,
nylanwi01,TOR,C,2,1,3,2,1,0,0,0,2,1,1,0,0,39,1,2,,,,,,
pastrda01,BOS,RW,3,1,3,6,2,0,0,0,0,0,13,1,6,58,0,6,,,,,,
pointbr01,TBL,C,2,1,3,0,-4,0,0,0,10,21,1,1,0,39,0,3,,,,,,
protaal01,WSH,C,3,2,2,0,4,0,0,0,0,3,10,0,0,57,1,3,,,,,,
rantami01,DAL,RW,2,1,3,4,0,0,0,0,1,2,5,0,0,40,0,2,,,,,,
riellmo01,TOR,D,2,1,3,0,1,0,0,1,0,0,7,3,2,43,0,1,,,,,,
teravte01,CHI,F,3,1,3,0,2,0,0,0,0,1,2,3,0,57,2,6,,,,,,
ahose01,CAR,F,2,0,3,0,0,0,0,0,22,11,4,0,2,42,1,3,,,,,,
bedarco01,CHI,C,3,2,1,4,0,1,0,0,6,20,5,2,1,62,0,4,,,,,,
beniema01,SEA,C,2,1,2,0,1,1,0,0,18,13,4,2,1,37,0,5,,,,,,
brattje01,NJD,W,2,2,1,0,1,0,1,1,0,0,4,1,4,36,1,1,,,,,,
brazeju01,PIT,F,3,3,0,0,1,0,0,2,0,0,8,3,6,38,0,1,,,,,,
carlsle01,ANA,C,2,1,2,0,0,0,0,1,16,13,7,0,0,38,0,2,,,,,,
carrisa01,NYR,C,4,0,3,0,4,0,0,0,14,16,7,4,6,52,0,1,,,,,,
caufico01,MTL,RW,3,1,2,0,-1,1,0,0,0,1,10,0,4,54,2,3,,,,,,
celebma01,SJS,F,2,0,3,0,-1,0,0,0,26,21,2,0,0,42,0,6,,,,,,
chychja01,WSH,D,3,0,3,2,4,0,0,0,0,0,4,1,2,65,3,6,,,,,,
coronma01,CGY,RW,3,2,1,2,-1,1,0,0,0,5,6,1,1,53,1,1,,,,,,
debrial01,DET,RW,2,0,3,0,0,0,0,0,0,2,8,0,0,36,0,2,,,,,,
draisle01,EDM,C,2,2,1,0,1,1,1,0,6,14,8,0,2,48,1,1,,,,,,
dunnvi02,SEA,D,2,1,2,0,2,0,0,0,0,0,6,1,0,43,0,1,,,,,,
eriksjo02,MIN,C,2,1,2,2,-1,1,0,0,17,26,5,0,3,37,0,0,,,,,,
forslgu02,FLA,D,3,0,3,0,4,0,0,0,0,0,6,2,5,66,1,0,,,,,,
gallabr01,MTL,RW,3,0,3,4,1,0,0,0,1,0,1,1,2,41,0,1,,,,,,
gostish01,CAR,D,2,0,3,0,5,0,0,0,0,0,2,3,2,40,1,0,,,,,,
guentdy01,UTA,RW,2,2,1,0,1,1,0,1,2,1,11,3,1,43,0,2,,,,,,
hallta02,CAR,LW,2,2,1,0,1,0,0,0,0,0,4,1,1,25,0,2,,,,,,
jarvise01,CAR,C,2,3,0,0,1,0,0,2,3,3,8,1,2,42,0,1,,,,,,
jennebo01,CBJ,C,2,1,2,2,2,0,0,0,1,3,3,2,3,32,0,1,,,,,,
kempead01,LAK,LW,3,1,2,0,2,0,0,0,0,2,12,4,11,58,2,2,,,,,,
kopitan01,LAK,C,3,0,3,0,1,0,0,0,33,20,4,4,5,55,2,6,,,,,,
kuzmean01,LAK,F,3,1,2,0,2,1,0,0,0,0,6,2,7,50,2,3,,,,,,
lehkoar01,COL,LW,3,2,1,0,4,0,0,0,0,1,9,2,1,66,0,3,,,,,,
lundean01,FLA,C,3,2,1,0,0,2,0,0,28,20,9,2,2,53,0,7,,,,,,
lundkni01,DAL,D,2,1,2,0,1,0,0,0,0,0,2,2,1,33,0,1,,,,,,
makarca01,COL,D,3,0,3,4,2,0,0,0,0,0,8,5,4,72,3,4,,,,,,
marchbr03,FLA,LW,3,2,1,2,-1,0,0,1,0,0,12,0,2,56,0,2,,,,,,
marchki01,CBJ,RW,2,3,0,2,3,1,0,1,0,0,12,3,1,35,0,2,,,,,,
mcdavco01,EDM,C,2,0,3,0,2,0,0,0,17,8,8,0,1,50,1,4,,,,,,
millejt01,NYR,C,4,1,2,2,0,0,0,0,37,19,6,2,12,77,1,4,,,,,,
nugenry01,EDM,C,2,1,2,2,1,1,0,0,8,14,5,0,1,38,0,0,,,,,,
orlovdm01,SJS,D,2,0,3,2,2,0,0,0,0,0,4,1,7,43,0,4,,,,,,
palmiky01,NYI,RW,2,1,2,4,-2,0,0,0,1,0,10,2,2,41,1,1,,,,,,
raddyda01,TBL,D,2,1,2,0,-3,0,0,0,0,0,4,3,1,35,0,2,,,,,,
roberja01,DAL,LW,2,2,1,0,3,1,0,0,0,0,13,1,2,38,2,4,,,,,,
rodriev01,FLA,C,3,1,2,2,3,0,0,0,10,11,4,2,4,46,0,3,,,,,,
rossima01,MIN,C,2,1,2,0,-1,0,0,0,11,18,5,2,1,35,1,1,,,,,,
samosma01,FLA,RW,3,1,2,2,1,1,0,0,0,0,7,0,8,39,1,0,,,,,,
sennebe01,ANA,F,2,2,1,0,0,1,0,0,0,0,8,1,5,36,0,1,,,,,,
smithwi01,SJS,C,2,0,3,2,0,0,0,0,0,0,5,1,1,38,0,6,,,,,,
tkachbr01,OTT,LW,2,0,3,4,1,0,0,0,8,3,8,0,4,35,1,4,,,,,,
vilarga01,WPG,C,2,0,3,0,0,0,0,0,1,0,6,1,2,38,0,4,,,,,,
vorondi01,CBJ,LW,2,1,2,4,3,0,0,0,0,2,3,1,4,30,0,0,,,,,,
werenza01,CBJ,D,2,1,2,0,4,0,0,0,0,0,12,3,2,52,0,3,,,,,,
zachapa01,BOS,C,3,1,2,0,1,0,0,0,3,5,3,1,3,55,0,3,,,,,,
zubar01,OTT,D,2,1,2,2,2,0,0,0,0,0,7,4,5,41,0,3,,,,,,
barbaiv01,VEG,C,3,1,1,0,0,0,0,0,0,1,5,0,10,46,0,3,,,,,,
barromo01,WPG,C,2,1,1,0,0,0,1,0,11,14,2,2,4,21,2,2,,,,,,
bertuty01,CHI,LW,3,0,2,0,1,0,0,0,3,5,5,0,4,49,1,1,,,,,,
bjorkol01,TBL,RW,2,1,1,0,-1,1,0,0,0,0,3,1,2,26,0,3,,,,,,
blakeja02,CAR,RW,2,0,2,2,-1,0,0,0,0,0,11,1,2,35,1,2,,,,,,
boesebr01,VAN,RW,2,2,0,0,1,0,0,0,0,2,4,0,1,35,0,3,,,,,,
brinkbo01,PHI,RW,2,1,1,0,1,0,0,0,0,1,4,1,2,33,0,1,,,,,,
brownco02,NJD,RW,2,2,0,0,1,0,0,0,0,0,4,1,3,28,0,2,,,,,,
buiumze01,MIN,D,2,1,1,0,-4,1,0,0,0,0,5,3,1,44,0,1,,,,,,
burakan01,CHI,LW,3,1,1,0,-1,0,0,0,0,2,4,0,3,48,2,2,,,,,,
byfiequ01,LAK,C,3,1,1,4,-4,0,0,0,15,29,8,1,7,57,3,1,,,,,,
catesno01,PHI,LW,2,1,1,2,2,0,0,0,15,19,6,0,3,33,1,3,,,,,,
chytifi01,VAN,C,2,2,0,4,0,0,0,1,11,12,6,2,1,33,2,2,,,,,,
crosbsi01,PIT,C,3,1,1,0,-4,1,0,0,31,31,4,3,5,55,0,3,,,,,,
crozima01,TBL,D,2,0,2,2,1,0,0,0,0,0,3,2,5,33,1,1,,,,,,
debruja01,VAN,LW,2,0,2,0,1,0,0,0,0,1,4,0,1,32,0,0,,,,,,
dellaty01,SJS,C,2,0,2,0,2,0,0,0,18,11,2,2,10,32,0,2,,,,,,
demeldy01,WPG,D,2,0,2,4,-2,0,0,0,0,0,3,5,3,44,0,3,,,,,,
doughdr01,LAK,D,3,0,2,2,2,0,0,0,0,0,5,6,4,70,2,5,,,,,,
eberljo01,SEA,RW,2,0,2,2,0,0,0,0,0,0,6,2,3,38,1,3,,,,,,
edstrad01,NYR,C,4,0,2,0,2,0,0,0,0,0,4,1,10,41,2,4,,,,,,
ekblaaa01,FLA,D,3,1,1,0,3,1,0,1,0,0,7,2,4,70,0,2,,,,,,
fantiad01,CBJ,C,2,1,1,0,1,0,0,0,11,7,4,1,2,29,1,3,,,,,,
farabjo01,CGY,LW,3,0,2,0,-1,0,0,0,2,3,3,4,5,59,1,4,,,,,,
fialake01,LAK,LW,3,1,1,2,-4,1,0,0,0,2,9,1,3,54,0,4,,,,,,
foersty01,PHI,RW,2,0,2,2,2,0,0,0,0,0,5,1,1,34,0,1,,,,,,
forsbfi01,NSH,C,2,1,1,0,0,0,0,0,0,1,8,3,5,40,1,2,,,,,,
gaudead01,SJS,C,2,1,1,4,0,1,0,0,6,10,1,0,2,18,0,1,,,,,,
gauthcu01,ANA,LW,2,2,0,2,0,0,0,0,1,2,14,1,3,38,0,1,,,,,,
geekimo01,BOS,C,3,1,1,2,3,0,0,0,1,3,3,1,5,54,1,3,,,,,,
giroucl01,OTT,C,2,1,1,0,2,0,0,1,5,5,4,0,2,28,0,1,,,,,,
granlmi01,ANA,C,2,0,2,0,1,0,0,0,12,22,0,1,0,38,1,2,,,,,,
greeraj01,FLA,LW,3,1,1,5,1,0,0,0,1,1,2,1,11,27,0,0,,,,,,
gritsar01,NJD,RW,2,0,2,0,-1,0,0,0,0,0,3,0,2,23,0,2,,,,,,
guentja01,TBL,C,2,0,2,0,-2,0,0,0,2,1,6,3,1,47,0,4,,,,,,
hartmry01,MIN,RW,2,2,0,0,1,0,0,1,17,9,11,3,1,33,1,2,,,,,,
haulaer01,NSH,LW,2,1,1,2,1,0,0,0,19,5,3,1,5,29,3,2,,,,,,
