hockeyRef,team,pos,stats/gp,stats/goals,stats/assists,stats/pim,stats/plusMinus,stats/ppg,stats/shg,stats/gwg,stats/how,stats/fol,stats/shots,stats/blocks,stats/hits,stats/toi,stats/take,stats/give,stats/wins,stats/losses,stats/ties,stats/ga,stats/sa,stats/so
lacomja01,ANA,D,6,1,8,2,6,0,0,0,0,0,14,13,6,161,0,5,,,,,,
carlsle01,ANA,C,6,3,5,0,4,0,0,1,32,45,28,2,5,105,3,5,,,,,,
terrytr01,ANA,C,6,3,5,0,5,1,0,0,0,0,13,1,3,104,0,7,,,,,,
gauthcu01,ANA,LW,6,4,3,4,2,3,0,2,2,1,21,0,22,98,1,3,,,,,,
granlmi01,ANA,C,6,2,4,2,-2,2,0,0,41,45,8,3,14,108,1,2,,,,,,
killoal01,ANA,C,6,3,3,4,-4,2,0,0,2,9,14,2,8,109,2,6,,,,,,
carlsjo01,ANA,D,6,0,5,0,-1,0,0,0,0,0,11,11,4,146,3,14,,,,,,
kreidch01,ANA,LW,6,1,4,0,4,0,0,0,0,0,6,2,16,81,0,5,,,,,,
mctavma01,ANA,C,6,1,3,2,2,0,0,0,15,9,12,4,18,76,1,5,,,,,,
poehlry01,ANA,C,6,4,0,2,1,0,1,1,35,44,12,6,5,84,2,2,,,,,,
vielje01,ANA,F,6,2,0,9,-1,0,0,0,2,7,10,2,23,74,1,8,,,,,,
helledr01,ANA,D,5,0,1,2,1,0,0,0,0,0,4,0,5,42,2,2,,,,,,
hindsty01,ANA,D,6,0,1,0,-1,0,0,0,0,0,0,3,10,63,1,0,,,,,,
sennebe01,ANA,F,6,1,0,2,-7,0,0,0,0,0,17,3,11,100,2,4,,,,,,
troubja01,ANA,D,6,1,0,2,2,0,0,0,0,0,8,10,18,152,2,8,,,,,,
washeti01,ANA,F,6,0,1,2,-1,0,0,0,54,34,3,4,20,78,0,0,,,,,,
dostalu01,ANA,G,6,0,0,0,0,0,0,0,0,0,0,0,0,310,0,2,4,2,0,20,159,0
gudasra01,ANA,D,1,0,0,0,-1,0,0,0,0,0,1,1,2,9,0,0,,,,,,
hussovi01,ANA,G,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,1,0,0,0,1,11,0
mintypa01,ANA,D,6,0,0,2,-4,0,0,0,0,0,6,8,6,127,1,8,,,,,,
mooreia01,ANA,D,6,0,0,2,-1,0,0,0,0,2,6,4,14,63,2,4,,,,,,
pastrda01,BOS,RW,6,3,4,8,-7,1,0,1,0,0,22,5,12,125,2,7,,,,,,
geekimo01,BOS,C,6,2,2,6,-1,0,0,0,4,9,12,3,15,109,2,8,,,,,,
zachapa01,BOS,C,6,1,2,2,-7,1,0,1,53,44,11,2,9,108,1,1,,,,,,
arvidvi01,BOS,LW,4,2,0,0,-4,0,0,0,0,0,11,3,1,45,1,2,,,,,,
aspirjo01,BOS,D,6,0,2,2,-3,0,0,0,0,0,5,11,11,97,1,3,,,,,,
kuralse01,BOS,C,6,1,1,2,1,0,1,0,27,16,3,3,7,75,0,4,,,,,,
lindhel01,BOS,C,6,2,0,2,-3,0,0,0,53,38,10,3,19,112,0,6,,,,,,
lindhha01,BOS,D,6,0,2,8,-4,0,0,0,0,0,6,9,3,137,2,8,,,,,,
mcavoch01,BOS,D,6,0,2,19,-6,0,0,0,0,0,13,13,16,153,2,10,,,,,,
mitteca01,BOS,C,6,0,2,0,-4,0,0,0,1,1,8,1,8,89,1,3,,,,,,
