ORDER,TEAM,ROUND
1,ANA,1
2,BOS,1
3,BUF,1
4,CAR,1
5,CBJ,1
6,CGY,1
7,CHI,1
8,COL,1
9,DAL,1
10,DET,1
11,EDM,1
12,FLA,1
13,LAK,1
14,MIN,1
15,MTL,1
16,NJD,1
17,NSH,1
18,NYI,1
19,NYR,1
20,OTT,1
21,PHI,1
22,PIT,1
23,SEA,1
24,SJS,1
25,STL,1
26,TBL,1
27,TOR,1
28,UTA,1
29,VAN,1
30,VEG,1
31,WPG,1
32,WSH,1
1,ANA,2
2,BOS,2
3,BUF,2
4,CAR,2
5,CBJ,2
6,CGY,2
7,CHI,2
8,COL,2
9,DAL,2
10,DET,2
11,EDM,2
12,FLA,2
13,LAK,2
14,MIN,2
15,MTL,2
16,NJD,2
17,NSH,2
18,NYI,2
19,NYR,2
20,OTT,2
21,PHI,2
22,PIT,2
23,SEA,2
24,SJS,2
25,STL,2
26,TBL,2
27,TOR,2
28,UTA,2
29,VAN,2
30,VEG,2
31,WPG,2
32,WSH,2
