PICK,PLAYERID
EDM1,mckenga01
PIT1,stenbiv01
VAN1,malhoca01
MTL1,bjorcvi01
LAK1,reidch01
CBJ1,carelca01
CHI1,verhoke01
NSH1,rudolda01
BOS1,smitsal01
SEA1,novotad01
COL1,kleponi01
DAL1,lawrety01
OTT1,dagenma01
WSH1,cullewy01
FLA1,belchet01
NYI1,pugacgl01
TOR1,rautibe01
STL1,linry01
ANA1,finniem01
CAR1,hemmios01
TBL1,currama01
VEG1,bowmabr01
NJD1,hurlbjp01
UTA1,dastoch01
CGY1,commaal01
BUF1,coolede01
WPG1,vielje01
SJS1,ruckli01
MIN1,labano01
PHI1,nystrjo01
NYR1,gustama01
DET1,bleylto01
"ANA2	",sassoma01
"BOS2	",harenlo01
"BUF2	",melanja01
"CAR2	",aaremni01
"CBJ2	",malotje01
"CGY2	",pohlker01
"CHI2	",morozil01
"COL2	",tolopni01
"DAL2	",pinchvi01
"DET2	",carlide01
"EDM2	",nordmma01
"FLA2	",hoenjo01
"LAK2	",wytteet01
"MIN2	",coverja01
"MTL2	",aspirjo01
"NJD2	",waltoki01
"NSH2	",suvanol01
"NYI2	",runtsti01
"NYR2	",simpsco01
"OTT2	",hindsty01
"PHI2	",ignatsi01
"PIT2	",hermael01
"SEA2	",hextaja01
"SJS2	",mutryca01
"STL2	",roobrry01
"TBL2	",vanhama01
"TOR2	",jamesdo01
"UTA2	",shiloeg01
"VAN2	",villexa01
"VEG2	",rogowbr01
"WPG2	",ruckma01
"WSH2	",hughetj01
"ANA3	",chmelja01
"BOS3	",caliry01
"BUF3	",uchacka01
"CAR3	",pridhja01
"CBJ3	",lombaam01
"CGY3	",vanecja01
"CHI3	",brunefr01
"COL3	",lefebli01
"DAL3	",berzkru01
"DET3	",jugnaty01
"EDM3	",prestma01
"FLA3	",shcheni01
"LAK3	",washeti01
"MIN3	",kozakty01
"MTL3	",sokolma01
"NJD3	",nilssfe01
"NSH3	",piipaju01
"NYI3	",patteri01
"NYR3	",morozva01
"OTT3	",grossty01
"PHI3	",holinmi01
"PIT3	",reinhco01
"SEA3	",harrich01
"SJS3	",hakanwi01
"STL3	",hryckdy01
"TBL3	",solovil01
"TOR3	",aspinna01
"UTA3	",protzow01
"VAN3	",trejbto01
"VEG3	",hayesav01
"WPG3	",metsaza01
"WSH3	",plantvi01
"ANA4	",sorenwi01
"BOS4	",luciucr01
"BUF4	",smithga02
"CAR4	",tralmed01
"CBJ4	",kulebol01
"CGY4	",sparkty01
"CHI4	",haighhu01
"COL4	",quillja01
"DAL4	",elofsax01
"DET4	",ziemebr01
"EDM4	",goljead01
"FLA4	",galvato01
"LAK4	",lavoito01
"MIN4	",shaikal01
"MTL4	",postami01
"NJD4	",hovormi01
"NSH4	",kurtzja01
"NYI4	",knowlbr01
"NYR4	",vinniee01
"OTT4	",liskebr01
"PHI4	",gamzidm01
"PIT4	",trudefe01
"SEA4	",hamilbe01
"SJS4	",desimni01
"STL4	",dimarma01
"TBL4	",limatku01
"TOR4	",peshkgl01
"UTA4	",valenad01
"VAN4	",cournal01
"VEG4	",legauch01
"WPG4	",prademi01
"WSH4	",anderad01
