hockeyRef,team,pos,stats/gp,stats/goals,stats/assists,stats/pim,stats/plusMinus,stats/ppg,stats/shg,stats/gwg,stats/how,stats/fol,stats/shots,stats/blocks,stats/hits,stats/toi,stats/take,stats/give,stats/wins,stats/losses,stats/ties,stats/ga,stats/sa,stats/so
mcdavco01,EDM,C,78,44,84,38,14,12,1,4,426,445,289,29,39,1791,28,129,,,,,,
kucheni01,TBL,RW,72,43,84,48,44,8,1,7,0,2,224,27,35,1464,19,118,,,,,,
mackina01,COL,C,76,51,72,37,55,11,0,7,654,625,332,35,63,1687,23,157,,,,,,
celebma01,SJS,F,76,41,66,42,5,7,0,4,588,616,268,47,50,1628,40,136,,,,,,
pastrda01,BOS,RW,74,29,70,72,5,10,0,4,2,7,253,29,82,1537,31,130,,,,,,
draisle01,EDM,C,65,35,62,26,13,16,1,3,628,475,186,15,34,1402,26,106,,,,,,
scheima01,WPG,C,77,34,63,37,5,7,0,6,569,647,167,45,32,1661,29,117,,,,,,
suzukni01,MTL,C,78,28,68,28,36,11,1,2,697,688,175,60,60,1624,27,68,,,,,,
necasma01,COL,C,74,37,58,30,44,9,0,4,9,11,192,25,82,1583,22,121,,,,,,
roberja01,DAL,LW,78,41,50,32,19,14,0,7,0,2,284,33,48,1586,23,104,,,,,,
bouchev01,EDM,D,78,21,68,30,22,7,0,5,0,0,215,95,29,1921,33,121,,,,,,
connoky01,WPG,LW,77,38,51,16,4,4,2,5,0,1,250,16,33,1662,21,67,,,,,,
kapriki01,MIN,LW,76,43,44,28,12,17,0,7,0,2,264,27,49,1683,21,111,,,,,,
caufico01,MTL,RW,77,49,37,14,28,10,0,12,6,12,241,21,48,1399,22,55,,,,,,
guentja01,TBL,C,78,37,49,61,13,8,2,5,201,218,213,40,39,1573,22,71,,,,,,
boldyma01,MIN,LW,74,42,41,28,19,11,4,3,54,64,245,58,58,1522,34,86,,,,,,
debrial01,DET,RW,78,39,43,17,10,14,0,6,18,29,276,37,37,1443,42,84,,,,,,
eicheja01,VEG,C,70,25,57,16,15,0,1,5,533,584,245,40,35,1489,27,115,,,,,,
johnswy01,DAL,C,78,43,39,28,-5,26,0,4,389,427,198,55,54,1578,21,60,,,,,,
stuetti02,OTT,LW,78,34,48,39,7,9,2,5,334,294,189,43,125,1583,33,92,,,,,,
kellecl01,UTA,C,77,26,54,32,21,3,0,6,12,21,218,30,8,1464,26,96,,,,,,
werenza01,CBJ,D,71,22,58,16,10,4,0,2,0,0,240,90,30,1885,33,114,,,,,,
panarar01,2TM,LW,73,27,53,20,-9,4,0,3,1,0,216,15,11,1528,23,97,,,,,,
ahose01,CAR,F,78,26,53,42,10,7,2,4,589,576,190,21,63,1530,31,107,,,,,,
thompta01,BUF,C,78,38,40,33,-10,6,0,4,374,458,262,45,81,1502,27,66,,,,,,
marnemi01,VEG,RW,77,23,54,22,17,5,0,1,142,210,158,45,24,1541,37,102,,,,,,
hutsola01,MTL,D,78,12,63,34,34,2,0,3,0,0,123,131,29,1844,41,90,,,,,,
makarca01,COL,D,73,20,55,24,29,4,0,4,0,0,192,117,35,1817,39,81,,,,,,
zibanmi01,NYR,C,77,33,42,14,-17,15,2,3,545,499,207,49,100,1609,33,103,,,,,,
rantami01,DAL,RW,60,21,53,89,0,6,0,1,35,42,134,29,42,1217,19,71,,,,,,
hughequ01,2TM,D,72,6,68,30,0,2,0,1,0,0,185,84,7,1990,30,113,,,,,,
forsbfi01,NSH,C,78,38,35,34,-1,10,0,3,10,21,237,31,123,1472,48,98,,,,,,
hagelbr01,TBL,LW,69,35,38,56,33,5,1,6,25,37,205,38,42,1363,35,72,,,,,,
nylanwi01,TOR,C,60,26,47,16,-10,6,0,4,26,46,142,23,10,1156,29,63,,,,,,
raymolu01,DET,LW,76,25,48,20,5,7,0,5,1,0,165,28,41,1432,31,72,,,,,,
bedarco01,CHI,C,65,30,42,44,-11,7,0,5,284,329,217,24,30,1356,25,83,,,,,,
crosbsi01,PIT,C,66,29,43,42,0,10,0,4,755,610,154,29,58,1273,24,71,,,,,,
hugheja03,NJD,C,57,25,47,8,2,4,1,5,136,236,216,29,4,1213,37,115,,,,,,
oreilry01,NSH,C,77,25,47,20,9,5,2,8,711,581,146,62,14,1566,47,48,,,,,,
barzama01,NYI,C,77,19,51,61,11,2,0,4,208,308,172,47,29,1585,40,87,,,,,,
dahlira01,BUF,D,74,18,52,74,12,6,0,0,0,0,190,77,66,1797,30,111,,,,,,
schmani01,UTA,C,77,30,40,26,20,8,2,8,417,479,190,47,21,1515,42,88,,,,,,
guentdy01,UTA,RW,75,38,31,28,8,8,0,6,26,37,233,27,61,1301,15,59,,,,,,
kempead01,LAK,LW,76,32,37,56,11,4,0,7,51,92,209,38,122,1469,23,63,,,,,,
raddyda01,TBL,D,71,21,48,58,21,10,0,6,0,0,202,66,66,1623,11,72,,,,,,
slafkju01,MTL,LW,78,29,40,52,12,15,0,3,20,39,170,77,100,1438,12,74,,,,,,
svechan01,CAR,RW,78,30,39,64,0,11,0,3,10,12,198,16,146,1325,22,91,,,,,,
bathedr01,OTT,C,75,31,37,27,-7,11,0,5,12,10,160,20,117,1305,21,58,,,,,,
brattje01,NJD,W,78,20,48,12,-10,5,1,3,3,8,169,24,73,1464,24,82,,,,,,
tavarjo01,TOR,C,77,30,38,28,-27,11,0,4,742,549,184,21,68,1394,26,69,,,,,,
stonema01,VEG,RW,56,24,43,9,20,7,0,4,4,10,119,42,27,1079,27,62,,,,,,
geekimo01,BOS,C,78,37,29,22,-4,12,0,5,73,86,176,30,110,1359,20,74,,,,,,
jarvise01,CAR,C,70,32,34,23,5,5,4,7,32,47,222,27,81,1321,40,57,,,,,,
konectr01,PHI,RW,74,27,39,59,14,2,1,2,19,33,164,38,99,1420,17,98,,,,,,
ehlerni01,CAR,LW,78,24,41,12,4,9,0,6,11,19,194,23,21,1302,23,82,,,,,,
gauthcu01,ANA,LW,73,38,27,26,-2,10,0,7,102,104,272,20,59,1260,19,70,,,,,,
marchki01,CBJ,RW,72,26,39,32,8,6,1,6,4,4,205,39,55,1358,42,87,,,,,,
zegratr01,PHI,C,78,25,40,56,2,9,0,5,121,236,162,25,41,1459,23,76,,,,,,
carlsle01,ANA,C,66,27,37,33,3,4,2,3,407,513,173,27,12,1267,32,75,,,,,,
karlser01,PIT,D,73,14,50,22,10,4,0,0,0,0,174,63,20,1727,37,101,,,,,,
