hockeyRef,name,team,pos,stats/gp,stats/goals,stats/assists,stats/pim,stats/plusMinus,stats/ppg,stats/shg,stats/gwg,stats/how,stats/fol,stats/shots,stats/blocks,stats/hits,stats/toi,stats/take,stats/give,stats/wins,stats/losses,stats/ties,stats/ga,stats/sa,stats/so,stats/toughness,stats/dstat,stats/gstat
ahose01,"Aho,Sebastian",CAR,F,15,7,8,8,3,3,0,1,144,121,41,10,45,312,4,12,,,,,,,53,12.4,0
alexeal01,"Alexeyev,Alexander",WSH,D,10,0,0,4,-2,0,0,0,0,0,6,12,12,104,1,6,,,,,,,16,12.2,0
amadimi01,"Amadio,Michael",OTT,C,6,0,1,2,-2,0,0,0,2,0,5,0,22,99,3,5,,,,,,,24,1.3,0
anderjo05,"Anderson,Josh",MTL,RW,5,0,1,20,-2,0,0,0,1,3,11,1,26,69,0,1,,,,,,,46,2.3,0
andermi02,"Anderson,Michael",LAK,D,6,0,1,2,-4,0,0,0,0,0,4,7,22,153,1,6,,,,,,,24,9.65,0
anderja01,"Anderson-Dolan,Jaret",WPG,C,5,1,1,2,-1,0,0,0,2,0,3,2,19,42,0,1,,,,,,,21,2.4,0
applema01,"Appleton,Mason",WPG,C,13,0,7,14,5,0,0,0,1,2,16,7,28,193,3,9,,,,,,,42,7.433333333,0
armiajo01,"Armia,Joel",MTL,RW,5,0,2,2,2,0,0,0,0,0,4,0,8,62,2,3,,,,,,,10,1.066666667,0
arvidvi01,"Arvidsson,Viktor",EDM,LW,11,1,4,4,3,0,0,0,3,3,19,2,11,123,2,4,,,,,,,15,4.1,0
backos01,"Back,Oskar",DAL,C,11,0,2,2,-2,0,0,0,5,2,2,5,8,121,2,7,,,,,,,10,4.033333333,0
balinuv01,"Balinskis,Uvis",FLA,D,5,1,0,2,4,0,0,0,0,0,4,7,8,63,0,2,,,,,,,10,8.15,0
barbaiv01,"Barbashev,Ivan",VEG,C,11,1,1,6,-9,0,0,1,7,4,14,6,43,193,1,10,,,,,,,49,3.433333333,0
barkoal01,"Barkov,Aleksander",FLA,C,17,6,11,2,4,2,0,0,176,128,35,16,40,330,1,16,,,,,,,42,12,0
barromo01,"Barron,Morgan",WPG,C,13,0,2,2,-6,0,0,0,47,54,13,1,37,156,4,6,,,,,,,39,4.2,0
bastina01,"Bastian,Nathan",NJD,RW,5,0,0,0,1,0,0,0,0,0,6,3,15,58,0,3,,,,,,,15,1.933333333,0
bathedr01,"Batherson,Drake",OTT,C,6,1,1,10,-4,0,0,0,2,2,9,3,27,105,2,1,,,,,,,37,7.5,0
beauvan01,"Beauvillier,Anthony",WSH,LW,10,2,4,2,1,0,0,0,0,0,21,4,31,130,0,0,,,,,,,33,8.333333333,0
bennja01,"Benn,Jamie",DAL,LW,18,1,2,26,-11,1,0,0,41,49,25,14,67,236,4,8,,,,,,,93,17.86666667,0
bennesa01,"Bennett,Sam",FLA,C,17,10,6,26,2,3,0,1,56,112,51,9,85,287,3,20,,,,,,,111,1.566666667,0
benoisi01,"Benoit,Simon",TOR,D,13,1,1,10,-3,0,0,1,0,0,11,39,42,239,1,14,,,,,,,52,37.95,0
bichsli01,"Bichsel,Lian",DAL,D,18,0,1,28,0,0,0,0,0,0,12,9,75,212,2,18,,,,,,,103,3.6,0
blackco01,"Blackwell,Colin",DAL,C,11,1,0,6,-5,0,0,1,26,27,16,5,26,121,2,4,,,,,,,32,7.033333333,0
blakeja02,"Blake,Jackson",CAR,RW,15,3,3,16,0,2,0,0,3,7,26,1,17,254,3,17,,,,,,,33,-4.533333333,0
bogosza01,"Bogosian,Zach",MIN,D,6,0,1,0,1,0,0,0,0,0,2,4,6,78,1,3,,,,,,,6,5.9,0
bolduza01,"Bolduc,Zachary",STL,C,7,0,1,16,-1,0,0,0,0,1,7,2,19,93,2,5,,,,,,,35,2.1,0
boldyma01,"Boldy,Matt",MIN,LW,6,5,2,2,0,0,0,1,1,4,20,5,12,150,3,1,,,,,,,14,12,0
boqvije01,"Boqvist,Jesper",FLA,C,11,2,3,0,0,0,0,0,1,3,6,4,37,108,0,3,,,,,,,37,4.6,0
bouchev01,"Bouchard,Evan",EDM,D,16,6,11,4,9,2,0,1,0,0,37,20,7,400,16,28,,,,,,,11,28,0
bourqma01,"Bourque,Mavrik",DAL,C,3,0,0,2,-1,0,0,0,3,7,8,3,6,32,0,2,,,,,,,8,2.066666667,0
brattje01,"Bratt,Jesper",NJD,W,5,1,2,0,-5,0,0,0,0,0,20,5,6,117,2,5,,,,,,,6,5.9,0
brazeju01,"Brazeau,Justin",MIN,F,6,0,2,0,1,0,0,0,0,0,2,2,22,48,1,1,,,,,,,22,3.6,0
brobeph01,"Broberg,Philip",STL,D,7,1,1,2,9,0,0,0,0,0,8,10,4,155,1,10,,,,,,,6,8.75,0
brodijo01,"Brodin,Jonas",MIN,D,6,0,1,0,-1,0,0,0,0,0,4,11,6,149,3,8,,,,,,,6,13.45,0
brownco02,"Brown,Connor",EDM,RW,14,5,3,2,3,0,0,0,5,6,21,8,12,207,1,13,,,,,,,14,2.9,0
brownjo01,"Brown,Josh",EDM,D,1,0,0,0,1,0,0,0,0,0,0,3,0,5,0,0,,,,,,,0,3.25,0
buchnpa01,"Buchnevich,Pavel",STL,LW,7,3,5,14,1,1,0,0,1,1,14,4,14,144,1,7,,,,,,,28,2.8,0
buiumze01,"Buium,Zeev",MIN,D,4,0,1,4,-1,0,0,0,0,0,2,1,3,54,1,4,,,,,,,7,0.7,0
burnsbr01,"Burns,Brent",CAR,D,15,1,4,10,1,0,0,0,0,0,26,19,10,344,6,14,,,,,,,20,28.2,0
byfiequ01,"Byfield,Quinton",LAK,C,6,3,1,2,-7,0,0,0,36,47,18,2,14,135,4,9,,,,,,,16,1.5,0
carlobr01,"Carlo,Brandon",TOR,D,13,0,0,8,-4,0,0,0,0,0,14,32,9,248,4,12,,,,,,,17,36.4,0
carlsjo01,"Carlson,John",WSH,D,10,1,2,2,3,1,0,1,0,0,13,16,10,243,11,18,,,,,,,12,21.15,0
carrial01,"Carrier,Alexandre",MTL,D,5,1,1,0,0,0,0,0,0,0,8,15,7,104,3,1,,,,,,,7,22.2,0
carriwi01,"Carrier,William",CAR,LW,15,0,0,8,1,0,0,0,4,0,23,8,63,175,2,5,,,,,,,71,10.83333333,0
caseyse01,"Casey,Seamus",NJD,D,1,0,0,0,0,0,0,0,0,0,0,2,1,9,0,0,,,,,,,1,2.45,0
caufico01,"Caufield,Cole",MTL,RW,5,3,1,0,-6,2,0,0,1,1,24,0,5,98,3,2,,,,,,,5,4.266666667,0
cecico01,"Ceci,Cody",DAL,D,18,0,3,2,-6,0,0,0,0,0,19,25,22,387,2,9,,,,,,,24,37.35,0
cernaer01,"Černák,Erik",TBL,D,5,1,0,4,1,0,0,0,0,0,14,7,15,90,1,3,,,,,,,19,9.5,0
chaboth01,"Chabot,Thomas",OTT,D,6,1,3,2,1,0,0,1,0,0,11,8,8,150,2,6,,,,,,,10,11.5,0
chaffmi01,"Chaffee,Mitchell",TBL,F,4,1,0,0,0,0,0,0,0,0,1,1,8,45,0,3,,,,,,,8,-0.5,0
chatfja01,"Chatfield,Jalen",CAR,D,9,1,0,6,6,0,0,0,0,0,8,11,9,184,3,8,,,,,,,15,15.2,0
cholode01,"Cholowski,Dennis",NJD,D,2,0,0,0,1,0,0,0,0,0,2,2,0,18,1,1,,,,,,,0,2.9,0
chychja01,"Chychrun,Jakob",WSH,D,10,3,2,6,3,0,0,1,0,0,18,30,13,239,1,8,,,,,,,19,34.95,0
cirelan01,"Cirelli,Anthony",TBL,C,5,1,0,18,-4,0,0,0,33,35,5,8,14,81,0,4,,,,,,,32,6.7,0
clarkbr02,"Clarke,Brandt",LAK,D,6,2,0,0,1,1,0,0,0,0,6,6,4,77,1,6,,,,,,,4,4.85,0
coltoro01,"Colton,Ross",COL,C,1,0,0,0,0,0,0,0,1,0,1,0,3,7,0,1,,,,,,,3,-0.766666667,0
connoky01,"Connor,Kyle",WPG,LW,13,5,12,0,4,0,0,2,0,0,45,5,11,290,2,13,,,,,,,11,3.666666667,0
cottepa01,"Cotter,Paul",NJD,C,5,0,1,2,-1,0,0,0,0,1,5,3,22,72,1,2,,,,,,,24,4.4,0
cousini01,"Cousins,Nick",OTT,C,5,0,0,0,0,0,0,0,1,1,2,1,14,47,1,1,,,,,,,14,2.566666667,0
coylech01,"Coyle,Charlie",COL,C,7,1,0,2,-4,0,0,0,46,34,7,3,23,90,3,6,,,,,,,25,3,0
cozendy01,"Cozens,Dylan",OTT,C,6,1,1,12,-2,0,1,0,26,32,13,1,27,100,2,2,,,,,,,39,4.333333333,0
dadonev01,"Dadonov,Evgenii",DAL,RW,16,1,3,2,-3,0,0,0,0,0,16,7,19,186,1,6,,,,,,,21,8.2,0
danauph01,"Danault,Phillip",LAK,C,6,2,6,0,2,0,0,1,64,57,9,12,13,124,1,7,,,,,,,13,10.13333333,0
demeldy01,"DeMelo,Dylan",WPG,D,12,1,3,10,-1,0,0,0,0,0,18,14,24,262,6,15,,,,,,,34,18.1,0
demidiv01,"Demidov,Ivan",MTL,RW,5,0,2,0,-5,0,0,0,0,0,2,2,8,72,0,5,,,,,,,8,-0.6,0
dillobr01,"Dillon,Brenden",NJD,D,1,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,,,,,,,4,0.45,0
domima01,"Domi,Max",TOR,LW,13,3,4,33,2,0,0,1,61,45,19,1,17,171,4,8,,,,,,,50,2.7,0
dorofpa01,"Dorofeyev,Pavel",VEG,LW,8,1,1,2,-7,1,0,0,0,1,27,3,6,139,3,1,,,,,,,8,9.633333333,0
doughdr01,"Doughty,Drew",LAK,D,6,1,3,6,-7,1,0,0,0,0,10,7,12,163,0,3,,,,,,,18,12.15,0
dowdni01,"Dowd,Nic",WSH,C,10,0,1,8,-3,0,0,0,78,79,10,22,23,151,3,9,,,,,,,31,21.03333333,0
dowliju01,"Dowling,Justin",NJD,C,5,0,0,0,0,0,0,0,22,26,4,1,12,56,0,1,,,,,,,12,1.866666667,0
draisle01,"Draisaitl,Leon",EDM,C,16,7,18,2,11,2,0,2,142,126,42,14,18,349,13,28,,,,,,,20,10.63333333,0
drouijo01,"Drouin,Jonathan",COL,LW,7,0,3,0,-6,0,0,0,4,3,9,4,5,102,3,6,,,,,,,5,4.4,0
druryja01,"Drury,Jack",COL,C,7,1,1,4,2,0,0,0,38,23,9,4,8,90,0,2,,,,,,,12,5,0
duboipi01,"Dubois,Pierre-Luc",WSH,LW,10,0,3,12,3,0,0,0,79,66,13,7,22,171,1,8,,,,,,,34,5.7,0
duchema01,"Duchene,Matt",DAL,C,18,1,5,6,-16,1,0,1,82,45,23,13,16,299,3,19,,,,,,,22,6.966666667,0
duhaibr01,"Duhaime,Brandon",WSH,RW,10,3,1,10,-4,0,0,0,1,4,11,16,40,142,2,1,,,,,,,50,21.73333333,0
dumoubr01,"Dumoulin,Brian",NJD,D,5,0,0,0,0,0,0,0,0,0,4,14,14,147,1,9,,,,,,,14,13.35,0
dvorach01,"Dvorak,Christian",MTL,C,5,2,0,4,-1,0,0,1,40,39,7,5,5,82,0,2,,,,,,,9,5.733333333,0
edmunjo01,"Edmundson,Joel",LAK,D,6,0,1,2,2,0,0,0,0,0,2,17,16,139,2,3,,,,,,,18,22.95,0
ehlerni01,"Ehlers,Nikolaj",WPG,LW,8,5,2,4,1,1,0,0,0,0,31,4,12,138,3,6,,,,,,,16,5.6,0
eicheja01,"Eichel,Jack",VEG,C,11,1,9,0,-8,0,0,0,90,102,30,12,16,255,3,11,,,,,,,16,12.5,0
ekblaaa01,"Ekblad,Aaron",FLA,D,13,3,8,26,6,0,0,0,0,0,27,17,37,293,6,10,,,,,,,63,27.65,0
ekholma01,"Ekholm,Mattias",EDM,D,1,0,1,2,2,0,0,0,0,0,0,2,0,16,0,1,,,,,,,2,1.8,0
ekmanol01,"Ekman-Larsson,Oliver",TOR,D,13,2,2,8,-1,0,0,0,0,0,12,18,18,248,3,18,,,,,,,26,15.4,0
ellerla01,"Eller,Lars",WSH,C,9,0,1,2,-1,0,0,0,36,35,3,3,13,97,2,4,,,,,,,15,4.233333333,0
emberty01,"Emberson,Ty",EDM,D,9,0,0,0,1,0,0,0,0,0,5,4,14,85,0,3,,,,,,,14,5.25,0
eriksjo02,"Eriksson Ek,Joel",MIN,C,6,0,3,4,0,0,0,0,82,71,19,10,8,132,2,0,,,,,,,12,16.4,0
evansja02,"Evans,Jake",MTL,C,5,0,1,2,0,0,0,0,36,30,4,2,11,78,1,4,,,,,,,13,1.6,0
faberbr01,"Faber,Brock",MIN,D,6,0,0,2,2,0,0,0,0,0,4,12,4,162,2,8,,,,,,,6,14.1,0
faksara01,"Faksa,Radek",STL,C,7,1,4,2,7,0,0,0,53,41,2,5,21,106,1,2,,,,,,,23,7.533333333,0
faulkju01,"Faulk,Justin",STL,D,7,1,2,8,3,0,0,0,0,0,12,13,19,166,1,21,,,,,,,27,1.3,0
fialake01,"Fiala,Kevin",LAK,LW,6,3,4,2,0,2,0,0,0,0,25,5,20,131,5,6,,,,,,,22,8.366666667,0
fleurha01,"Fleury,Haydn",WPG,D,8,0,2,8,2,0,0,0,0,0,3,10,16,122,2,5,,,,,,,24,13.1,0
foegewa01,"Foegele,Warren",LAK,LW,6,1,2,0,1,0,0,0,2,3,25,5,19,112,1,8,,,,,,,19,1.733333333,0
foligma01,"Foligno,Marcus",MIN,LW,6,3,1,6,4,0,1,0,1,4,10,3,42,96,2,2,,,,,,,48,6.2,0
forslgu02,"Forsling,Gustav",FLA,D,17,1,3,8,10,0,0,1,0,0,23,26,21,378,8,11,,,,,,,29,41.9,0
fowleca01,"Fowler,Cam",STL,D,7,2,8,0,2,0,0,1,0,0,12,9,2,163,2,8,,,,,,,2,11.15,0
fredetr01,"Frederic,Trent",EDM,C,16,1,3,9,2,0,0,1,11,5,14,12,59,178,2,6,,,,,,,68,13.93333333,0
gadjojo01,"Gadjovich,Jonah",FLA,LW,10,2,1,18,5,0,0,0,0,0,8,7,52,78,1,1,,,,,,,70,9.6,0
gallabr01,"Gallagher,Brendan",MTL,RW,5,0,2,0,-7,0,0,0,0,1,13,1,16,78,0,2,,,,,,,16,1.6,0
gaudead01,"Gaudette,Adam",OTT,C,6,1,2,4,2,0,0,0,9,17,4,5,9,56,0,3,,,,,,,13,3.866666667,0
