hockeyRef,name,team,pos,stats/gp,stats/goals,stats/assists,stats/pim,stats/plusMinus,stats/ppg,stats/shg,stats/gwg,stats/how,stats/fol,stats/shots,stats/blocks,stats/hits,stats/toi,stats/take,stats/give,stats/wins,stats/losses,stats/ties,stats/ga,stats/sa,stats/so,stats/toughness,stats/dstat,stats/gstat
eicheja01,"no-name",VEG,C,9,6,10,0,6,0,0,1,79,75,38,4,4,187,7,21,,,,,,,4,-3.7666666666666666,0
schmani01,"no-name",UTA,C,10,7,9,4,7,3,0,2,18,32,36,7,2,193,2,16,,,,,,,6,-0.5666666666666664,0
celebma01,"no-name",SJS,F,9,6,9,2,0,2,0,1,89,83,24,4,6,187,3,11,,,,,,,8,2.2333333333333334,0
kapriki01,"no-name",MIN,LW,10,5,9,0,-5,4,0,0,0,0,34,4,2,226,1,17,,,,,,,2,-4.466666666666667,0
mackina01,"no-name",COL,C,10,7,7,8,8,2,0,1,111,104,44,5,9,220,3,20,,,,,,,17,-4.666666666666667,0
malkiev01,"no-name",PIT,C,9,2,12,4,3,1,0,0,28,45,20,2,5,155,2,7,,,,,,,9,2.166666666666667,0
nylanwi01,"no-name",TOR,C,8,3,11,2,4,0,0,0,8,8,14,3,2,155,5,11,,,,,,,4,2.166666666666667,0
kempead01,"no-name",LAK,LW,10,5,8,12,3,1,0,2,8,15,32,6,26,192,6,11,,,,,,,38,7.4,0
larkidy01,"no-name",DET,C,9,6,7,8,9,3,0,2,91,82,27,3,5,182,1,9,,,,,,,13,1.0666666666666664,0
pastrda01,"no-name",BOS,RW,10,5,8,8,-4,3,0,0,0,0,37,3,20,202,5,21,,,,,,,28,-6.266666666666667,0
scheima01,"no-name",WPG,C,9,8,5,4,4,3,0,2,74,77,25,2,3,182,1,13,,,,,,,7,-3.9333333333333336,0
stonema01,"no-name",VEG,RW,6,2,11,0,2,1,0,0,0,1,19,5,3,110,1,6,,,,,,,3,3.6666666666666665,0
suzukni01,"no-name",MTL,C,10,2,11,2,7,2,0,0,94,87,23,6,5,204,2,4,,,,,,,7,10.8,0
hugheja03,"no-name",NJD,C,9,8,4,0,3,1,0,2,26,47,36,5,1,184,8,26,,,,,,,1,-6.866666666666666,0
kellecl01,"no-name",UTA,C,10,4,8,4,6,0,0,1,1,0,25,3,1,191,1,17,,,,,,,5,-6.633333333333334,0
mcdavco01,"no-name",EDM,C,10,1,11,2,-4,1,0,0,48,66,28,2,2,235,2,14,,,,,,,4,-2.166666666666667,0
necasma01,"no-name",COL,C,10,6,6,6,8,1,0,0,3,1,20,2,11,213,2,22,,,,,,,17,-10.9,0
tavarjo01,"no-name",TOR,C,9,5,7,0,2,1,0,1,83,63,22,2,8,159,1,5,,,,,,,8,3.3,0
boldyma01,"no-name",MIN,LW,10,5,6,4,-3,3,0,0,6,9,40,3,5,225,0,13,,,,,,,9,-2.5,0
brattje01,"no-name",NJD,W,9,4,7,6,4,1,1,1,0,0,17,1,13,152,8,10,,,,,,,19,4.066666666666666,0
connoky01,"no-name",WPG,LW,9,4,7,4,5,0,1,0,0,0,33,2,3,185,4,9,,,,,,,7,3.166666666666667,0
coolelo01,"no-name",UTA,C,10,7,4,4,6,3,0,0,58,75,25,5,10,188,2,15,,,,,,,14,-1.7333333333333334,0
crosbsi01,"no-name",PIT,C,9,6,5,8,1,3,0,1,95,81,15,4,10,170,3,11,,,,,,,18,1.666666666666667,0
draisle01,"no-name",EDM,C,10,7,4,2,1,4,1,0,84,53,28,1,5,225,3,11,,,,,,,7,0.5,0
garlaco01,"no-name",VAN,RW,10,3,8,4,6,0,0,1,1,8,26,6,8,210,4,12,,,,,,,12,5,0
