hockeyRef,team,pos,stats/gp,stats/goals,stats/assists,stats/pim,stats/plusMinus,stats/ppg,stats/shg,stats/gwg,stats/how,stats/fol,stats/shots,stats/blocks,stats/hits,stats/toi,stats/take,stats/give,stats/wins,stats/losses,stats/ties,stats/ga,stats/sa,stats/so
celebma01,SJS,F,14,8,13,8,4,2,0,1,126,127,40,9,10,293,6,18,,,,,,
mcdavco01,EDM,C,15,4,17,4,-3,1,0,0,75,91,45,3,2,354,6,21,,,,,,
mackina01,COL,C,14,10,10,8,9,4,0,1,155,148,61,9,13,304,3,25,,,,,,
nylanwi01,TOR,C,11,6,14,4,8,0,0,0,10,11,20,4,2,213,7,12,,,,,,
scheima01,WPG,C,13,9,11,4,7,3,0,2,100,110,34,3,3,259,2,20,,,,,,
eicheja01,VEG,C,12,8,11,0,6,0,0,2,108,105,50,7,4,248,8,25,,,,,,
malkiev01,PIT,C,14,3,16,12,5,1,0,0,50,62,36,3,7,245,5,15,,,,,,
suzukni01,MTL,C,13,3,16,2,9,3,0,0,125,112,29,10,7,263,2,7,,,,,,
bedarco01,CHI,C,14,7,11,14,7,2,0,1,60,70,46,5,5,298,7,19,,,,,,
carlsle01,ANA,C,12,5,13,17,7,0,1,1,80,99,28,7,1,220,3,9,,,,,,
kapriki01,MIN,LW,14,8,10,2,-5,5,0,0,0,0,47,5,2,319,1,20,,,,,,
kniesma01,TOR,LW,14,5,13,8,6,2,0,0,0,0,29,8,33,281,4,13,,,,,,
larkidy01,DET,C,14,8,10,8,6,3,0,3,155,124,40,6,6,288,1,16,,,,,,
makarca01,COL,D,14,4,14,6,11,0,0,1,0,0,35,26,10,358,9,13,,,,,,
necasma01,COL,C,14,9,9,8,8,2,0,0,6,2,31,4,16,297,2,31,,,,,,
pastrda01,BOS,RW,15,7,11,12,-6,3,0,0,0,0,51,4,28,296,6,25,,,,,,
schmani01,UTA,C,14,8,10,4,3,3,0,2,23,47,43,8,2,279,4,21,,,,,,
tavarjo01,TOR,C,14,7,11,2,3,1,0,1,126,93,38,4,14,241,5,11,,,,,,
connoky01,WPG,LW,13,8,9,4,9,0,2,1,0,0,49,2,6,265,5,13,,,,,,
crosbsi01,PIT,C,14,9,8,22,2,4,0,1,147,132,29,7,14,267,6,15,,,,,,
draisle01,EDM,C,15,10,7,4,4,6,1,0,135,100,40,4,7,337,7,22,,,,,,
rantami01,DAL,RW,13,7,10,14,-1,3,0,1,10,9,31,7,14,281,1,9,,,,,,
caufico01,MTL,RW,13,10,6,6,7,1,0,3,0,3,35,5,14,239,4,9,,,,,,
gauthcu01,ANA,LW,12,10,6,10,9,3,0,1,8,10,58,4,12,215,1,10,,,,,,
hugheja03,NJD,C,13,10,6,0,0,1,0,2,43,79,44,8,1,264,9,32,,,,,,
kempead01,LAK,LW,14,6,10,12,4,1,0,3,9,16,44,8,34,278,6,14,,,,,,
nugenry01,EDM,C,15,5,11,4,-7,2,0,0,34,48,23,4,7,286,3,8,,,,,,
bathedr01,OTT,C,10,5,10,4,4,2,0,1,1,0,22,3,16,170,7,9,,,,,,
debrial01,DET,RW,14,4,11,0,-1,3,0,0,0,3,55,4,1,244,2,13,,,,,,
horvabo01,NYI,C,13,9,6,6,6,2,1,2,147,99,45,3,8,276,3,12,,,,,,
terrytr01,ANA,C,12,5,10,0,9,0,1,1,1,1,30,1,0,216,2,7,,,,,,
wilsoto01,WSH,RW,13,8,7,29,6,4,0,0,1,4,29,6,37,248,3,11,,,,,,
zegratr01,PHI,C,13,4,11,18,1,2,0,0,26,43,28,4,6,236,3,12,,,,,,
johnswy01,DAL,C,13,7,7,4,-2,4,0,1,89,88,43,13,5,282,3,12,,,,,,
kellecl01,UTA,C,14,5,9,4,3,0,0,2,1,0,37,5,1,271,2,25,,,,,,
marnemi01,VEG,RW,12,3,11,2,8,1,0,0,5,4,20,7,6,248,5,17,,,,,,
merceda01,NJD,C,13,8,6,6,6,3,2,1,20,28,24,15,10,233,1,11,,,,,,
stuetti02,OTT,LW,13,6,8,6,4,2,0,0,70,45,40,8,16,257,2,18,,,,,,
boldyma01,MIN,LW,14,5,8,6,-5,3,0,0,11,12,47,6,9,301,0,16,,,,,,
brattje01,NJD,W,13,4,9,6,0,1,1,1,0,0,27,4,17,222,10,14,,,,,,
guentdy01,UTA,RW,14,6,7,6,3,1,0,4,4,5,46,5,13,255,1,13,,,,,,
hutsola01,MTL,D,13,1,12,0,4,0,0,1,0,0,16,19,8,294,5,16,,,,,,
marchbr03,FLA,LW,12,7,6,16,-4,1,0,1,0,1,37,2,12,219,1,13,,,,,,
marchki01,CBJ,RW,13,6,7,6,9,1,1,2,0,0,47,10,12,236,3,17,,,,,,
smithwi01,SJS,C,14,5,8,8,6,0,0,1,2,11,28,6,6,252,1,15,,,,,,
stonema01,VEG,RW,6,2,11,0,2,1,0,0,0,1,19,5,3,110,1,6,,,,,,
vilarga01,WPG,C,13,5,8,2,3,1,0,1,10,6,29,4,4,241,1,9,,,,,,
zachapa01,BOS,C,15,3,10,12,3,1,0,0,75,57,22,7,17,266,5,13,,,,,,
ahose01,CAR,F,12,4,8,4,0,0,0,0,97,108,24,6,19,237,6,18,,,,,,
